Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consuption (gr);Feed Consuption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
18/10/2016;;19100;23/12/2016;2160;11,31%;;;23/12/2016;0;0
;;19100;24/12/2016;;0,00%;;;24/12/2016;0;0
;;19100;25/12/2016;2790;14,61%;;;25/12/2016;0;0
;;19100;26/12/2016;;0,00%;;;26/12/2016;0;0
;20;19080;27/12/2016;5130;26,89%;;;27/12/2016;0;0
;;19080;28/12/2016;3450;18,08%;;;28/12/2016;0;0
;2;19078;29/12/2016;4500;23,59%;;;29/12/2016;30240;0
;;19078;30/12/2016;4590;24,06%;;;30/12/2016;0;0
;2;19076;31/12/2016;6480;33,97%;;;31/12/2016;0;0
;;19076;01/01/2017;7470;39,16%;;;01/01/2017;0;0
;4;19072;02/01/2017;8430;44,20%;;;02/01/2017;0;0
;5;19059;03/01/2017;9030;47,38%;;;03/01/2017;32400;0
;3;19056;04/01/2017;12120;63,60%;;;04/01/2017;10800;0
;4;19052;05/01/2017;11760;61,73%;;;05/01/2017;15120;0
;13;19039;06/01/2017;13330;70,01%;;;06/01/2017;0;0
;29;19010;07/01/2017;14410;75,80%;;;07/01/2017;23580;0
;1;19009;08/01/2017;14900;78,38%;;;08/01/2017;0;0
;3;19006;09/01/2017;15510;81,61%;;;09/01/2017;32400;0
;5;19001;10/01/2017;16510;86,89%;;;10/01/2017;16200;0
;2;18999;11/01/2017;16500;86,85%;;;11/01/2017;16020;0
;7;18992;12/01/2017;17130;90,20%;;;12/01/2017;16200;0
;4;18988;13/01/2017;16920;89,11%;;;13/01/2017;15120;0
;7;18981;14/01/2017;17820;93,88%;;;14/01/2017;16020;0
;6;18975;15/01/2017;17050;89,86%;;;15/01/2017;0;0
;3;18972;16/01/2017;17810;93,88%;;;16/01/2017;35790;9830
;0;18972;17/01/2017;17700;93,30%;;;17/01/2017;15120;0
;6;18966;18/01/2017;18130;95,59%;;;18/01/2017;16200;0
;1;18965;19/01/2017;18000;94,91%;;;19/01/2017;19680;0
;3;18962;20/01/2017;18110;95,51%;;;20/01/2017;16020;
;4;18958;21/01/2017;17480;92,20%;;;21/01/2017;19080;
;1;18957;22/01/2017;18430;97,22%;;;22/01/2017;;
;0;18957;23/01/2017;18350;96,80%;;;23/01/2017;35100;
;0;18957;24/01/2017;17900;94,42%;;;24/01/2017;15120;
;0;18957;25/01/2017;18310;96,59%;;;25/01/2017;19530;
