Arrival Chickens Date;Death;Chickens;DeathPerc;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
09/08/2020;8;42098;0.0001900328;24/09/2020;34260;0.813815383;129;102;24/09/2020;33360;0
09/08/2020;9;42089;0.0002138326;25/09/2020;35010;0.831808786;128;101;25/09/2020;34290;0
09/08/2020;4;42085;0.0000950457;26/09/2020;35880;0.852560295;130;113;26/09/2020;35040;0
09/08/2020;6;42079;0.0001425889;27/09/2020;36180;0.859811307;133;112;;0;0
09/08/2020;6;42073;0.0001426093;28/09/2020;37050;0.880612269;136;117;28/09/2020;71760;0
09/08/2020;7;42066;0.0001664052;29/09/2020;36630;0.870774497;135;110;29/09/2020;35910;0
09/08/2020;6;42060;0.0001426534;30/09/2020;37830;0.899429387;134;109;30/09/2020;37200;0
09/08/2020;6;42054;0.0001426737;01/10/2020;38100;0.905978028;138;93;01/10/2020;37320;0
09/08/2020;4;42050;0.0000951249;02/10/2020;37890;0.901070155;137;109;02/10/2020;37200;0
09/08/2020;7;42043;0.0001664962;03/10/2020;38080;0.905739362;142;105;03/10/2020;37440;0
09/08/2020;7;42036;0.0001665239;04/10/2020;38010;0.90422495;140;81;;0;0
09/08/2020;5;42031;0.0001189598;05/10/2020;37770;0.898622445;139;143;05/10/2020;74550;0
09/08/2020;6;42025;0.0001427722;06/10/2020;38550;0.917311124;138;101;06/10/2020;37800;5430
09/08/2020;8;42017;0.0001903991;07/10/2020;38430;0.914629793;137;102;07/10/2020;37680;0
09/08/2020;4;42013;0.0000952086;10/08/2020;38610;0.919001262;141;100;10/08/2020;37890;0
09/08/2020;6;42007;0.0001428333;10/09/2020;38820;0.924131692;139;100;10/09/2020;38160;0
09/08/2020;6;42001;0.0001428537;10/10/2020;37950;0.903549915;135;104;10/10/2020;37200;0
09/08/2020;4;41997;0.0000952449;11/10/2020;37040;0.88196776;136;106;;0;0
09/08/2020;7;41990;0.0001667064;12/10/2020;38460;0.915932365;137;101;12/10/2020;73890;0
09/08/2020;6;41984;0.0001429116;13/10/2020;38490;0.91677782;140;123;13/10/2020;37800;5310
09/08/2020;6;41978;0.0001429320;14/10/2020;38460;0.916194197;139;117;14/10/2020;37860;0
09/08/2020;4;41974;0.0000952971;15/10/2020;38670;0.921284605;145;124;15/10/2020;38130;0
09/08/2020;4;41970;0.0000953062;16/10/2020;39000;0.929235168;138;104;16/10/2020;38370;0
09/08/2020;6;41964;0.0001429797;17/10/2020;38640;0.920789248;136;113;17/10/2020;38100;0
09/08/2020;4;41960;0.0000953289;18/10/2020;38190;0.910152526;139;105;;0;0
09/08/2020;4;41956;0.0000953380;19/10/2020;38760;0.923824959;130;110;19/10/2020;75780;0
09/08/2020;4;41952;0.0000953471;20/10/2020;38850;0.926058352;135;115;20/10/2020;38190;0
09/08/2020;6;41946;0.0001430411;21/10/2020;37740;0.899728222;139;124;21/10/2020;37140;4290
09/08/2020;6;41940;0.0001430615;22/10/2020;37560;0.895565093;130;116;22/10/2020;36990;0
09/08/2020;6;41934;0.0001430820;23/10/2020;37050;0.883531263;142;118;23/10/2020;36540;0
09/08/2020;7;41927;0.0001669569;24/10/2020;37200;0.887256422;140;120;24/10/2020;36600;0
09/08/2020;5;41922;0.0001192691;25/10/2020;37560;0.895949621;145;124;;0;0
09/08/2020;5;41917;0.0001192833;26/10/2020;37830;0.902497793;135;122;26/10/2020;74280;0
09/08/2020;4;41913;0.0000954358;27/10/2020;37680;0.899005082;139;120;27/10/2020;37080;0
09/08/2020;6;41907;0.0001431742;28/10/2020;37470;0.8941227;142;118;28/10/2020;36900;0
09/08/2020;7;41900;0.0001670644;29/10/2020;37770;0.901431981;138;124;29/10/2020;37170;4140
09/08/2020;5;41895;0.0001193460;30/10/2020;38850;0.927318296;145;118;30/10/2020;38100;0
09/08/2020;4;41891;0.0000954859;31/10/2020;38640;0.922393832;140;117;31/10/2020;37980;0
09/08/2020;4;41887;0.0000954950;01/11/2020;38310;0.914603576;139;122;;0;0
09/08/2020;4;41883;0.0000955041;02/11/2020;38990;0.930926629;145;123;02/11/2020;76050;0
09/08/2020;5;41878;0.0001193944;03/11/2020;38730;0.924829266;135;119;03/11/2020;38190;0
09/08/2020;5;41873;0.0001194087;04/11/2020;39000;0.931387768;145;127;04/11/2020;38430;0
09/08/2020;5;41868;0.0001194229;05/11/2020;39750;0.949412439;138;122;05/11/2020;39180;4320
09/08/2020;7;41861;0.0001672201;06/11/2020;40560;0.968920953;140;117;06/11/2020;39900;0
09/08/2020;6;41855;0.0001433520;07/11/2020;40200;0.960458727;139;118;07/11/2020;39690;0
09/08/2020;6;41849;0.0001433726;08/11/2020;40380;0.964897608;145;130;;0;0
09/08/2020;4;41845;0.0000955909;09/11/2020;41590;0.993906082;138;124;09/11/2020;81000;0
