Arrival Chickens Date;Death;Chickens;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
09/08/2020;8;42098;24/09/2020;34260;0.813815383;129;102;24/09/2020;33360;0
09/08/2020;9;42089;25/09/2020;35010;0.831808786;128;101;25/09/2020;34290;0
09/08/2020;4;42085;26/09/2020;35880;0.852560295;130;113;26/09/2020;35040;0
09/08/2020;6;42079;27/09/2020;36180;0.859811307;133;112;;0;0
09/08/2020;6;42073;28/09/2020;37050;0.880612269;136;117;28/09/2020;71760;0
09/08/2020;7;42066;29/09/2020;36630;0.870774497;135;110;29/09/2020;35910;0
09/08/2020;6;42060;30/09/2020;37830;0.899429387;134;109;30/09/2020;37200;0
09/08/2020;6;42054;01/10/2020;38100;0.905978028;138;93;01/10/2020;37320;0
09/08/2020;4;42050;02/10/2020;37890;0.901070155;137;109;02/10/2020;37200;0
09/08/2020;7;42043;03/10/2020;38080;0.905739362;142;105;03/10/2020;37440;0
09/08/2020;7;42036;04/10/2020;38010;0.90422495;140;81;;0;0
09/08/2020;5;42031;05/10/2020;37770;0.898622445;139;143;05/10/2020;74550;0
09/08/2020;6;42025;06/10/2020;38550;0.917311124;138;101;06/10/2020;37800;5430
09/08/2020;8;42017;07/10/2020;38430;0.914629793;137;102;07/10/2020;37680;0
09/08/2020;4;42013;10/08/2020;38610;0.919001262;141;100;10/08/2020;37890;0
09/08/2020;6;42007;10/09/2020;38820;0.924131692;139;100;10/09/2020;38160;0
09/08/2020;6;42001;10/10/2020;37950;0.903549915;135;104;10/10/2020;37200;0
09/08/2020;4;41997;11/10/2020;37040;0.88196776;136;106;;0;0
09/08/2020;7;41990;12/10/2020;38460;0.915932365;137;101;12/10/2020;73890;0
09/08/2020;6;41984;13/10/2020;38490;0.91677782;140;123;13/10/2020;37800;5310
09/08/2020;6;41978;14/10/2020;38460;0.916194197;139;117;14/10/2020;37860;0
