Arrival Chickens Date;Death;Chickens;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
19/07/2018;13;42009;01/09/2018;31770;0.756266514;100.0;97.0;;0;0
19/07/2018;14;41995;02/09/2018;31960;0.761042981;101.0;105.5;;0;0
19/07/2018;14;41981;03/09/2018;33520;0.798456445;104.5;102.0;03/09/2018;87750;0
19/07/2018;11;41970;04/09/2018;35440;0.844412676;107.0;119.5;;0;0
19/07/2018;14;41956;05/09/2018;35300;0.841357613;110.0;113.0;05/09/2018;66450;0
19/07/2018;13;41943;06/09/2018;36310;0.865698686;110.5;119.0;;0;0
19/07/2018;13;41930;07/09/2018;38340;0.914381111;111.0;115.5;07/09/2018;68990;8270
19/07/2018;12;41918;08/09/2018;35650;0.850469965;112.0;111.0;;0;0
19/07/2018;12;41906;09/09/2018;37540;0.895814442;107.5;121.5;;0;0
19/07/2018;12;41894;10/09/2018;38070;0.908722013;117.5;118.0;10/09/2018;107880;0
19/07/2018;9;41885;11/09/2018;37240;0.88910111;120.0;116.0;;0;0
19/07/2018;11;41874;12/09/2018;39690;0.947843531;119.5;119.0;12/09/2018;72810;0
19/07/2018;12;41862;13/09/2018;38380;0.916821939;121.5;129.0;13/09/2018;38400;8280
19/07/2018;13;41849;14/09/2018;38990;0.931682955;123.5;110.5;14/09/2018;37380;0
19/07/2018;11;41838;15/09/2018;39080;0.934079067;125.5;108.0;;0;0
19/07/2018;12;41826;16/09/2018;39770;0.950843973;128.5;120.0;;0;0
19/07/2018;11;41815;17/09/2018;38405;0.918450317;128.0;123.0;17/09/2018;114750;0
19/07/2018;12;41803;18/09/2018;39350;0.941320001;126.0;118.5;;0;0
19/07/2018;10;41793;19/09/2018;39780;0.951834039;129.0;120.5;19/09/2018;64720;7620
19/07/2018;10;41783;20/09/2018;40095;0.959600795;144.0;117.0;;0;0
19/07/2018;12;41771;21/09/2018;39890;0.954968758;138.5;117.5;21/09/2018;77730;0
19/07/2018;11;41760;22/09/2018;40010;0.95809387;138.0;118.5;;0;0
19/07/2018;11;41749;23/09/2018;40400;0.967687849;135.0;121.0;;0;0
19/07/2018;12;41737;24/09/2018;41390;0.991686034;138.0;125.5;24/09/2018;117450;0
19/07/2018;9;41728;25/09/2018;39650;0.950201304;139.0;121.5;25/09/2018;40500;0
19/07/2018;10;41718;26/09/2018;40610;0.973440721;140.5;118.0;26/09/2018;38880;0
19/07/2018;11;41707;27/09/2018;40130;0.962188601;130.5;117.5;;0;0
19/07/2018;12;41695;28/09/2018;40780;0.978054923;143.5;122.0;28/09/2018;79230;8100
19/07/2018;13;41682;29/09/2018;40070;0.961326232;132.0;111.0;;0;0
19/07/2018;12;41670;30/09/2018;40950;0.982721382;149.0;122.0;;0;0
19/07/2018;12;41658;01/10/2018;40380;0.969321619;144.5;117.0;01/10/2018;118950;0
19/07/2018;10;41648;02/10/2018;40520;0.972915866;141.5;120.0;;0;0
19/07/2018;11;41637;03/10/2018;40600;0.975094267;148.0;123.0;03/10/2018;79410;0
19/07/2018;9;41628;04/10/2018;40690;0.977467089;137.0;116.0;;0;0
19/07/2018;10;41618;05/10/2018;40880;0.982267288;145.0;122.0;05/10/2018;79470;6080
19/07/2018;9;41609;06/10/2018;39880;0.95844649;127.5;118.0;;0;0
19/07/2018;8;41601;07/10/2018;41660;1.001418235;137.5;119.5;;0;0
19/07/2018;12;41589;08/10/2018;40650;0.977421914;133.5;122.0;08/10/2018;119820;0
19/07/2018;10;41579;09/10/2018;40430;0.972365858;137.5;119.0;;0;0
19/07/2018;10;41569;10/10/2018;40400;0.971878082;140.5;119.5;10/10/2018;79350;0
19/07/2018;10;41559;11/10/2018;39640;0.953824683;139.0;114.0;;0;0
19/07/2018;11;41548;12/10/2018;41090;0.988976605;139.0;122.5;12/10/2018;78450;5990
19/07/2018;10;41538;13/10/2018;41130;0.990177669;147.5;128.0;;0;0
19/07/2018;10;41528;14/10/2018;40650;0.978857638;144.5;122.0;;0;0
19/07/2018;10;41518;15/10/2018;40850;0.983910593;144.5;120.0;15/10/2018;120360;0
19/07/2018;10;41508;16/10/2018;40610;0.978365616;141.0;119.5;;0;0
19/07/2018;11;41497;17/10/2018;41270;0.994529725;139.5;118.0;17/10/2018;79800;0
19/07/2018;11;41486;18/10/2018;39630;0.955262016;147.0;122.0;;0;0
19/07/2018;10;41476;19/10/2018;40790;0.983460314;143.0;118.0;19/10/2018;79350;5940
19/07/2018;10;41466;20/10/2018;40660;0.980562388;139.0;114.0;;0;0
19/07/2018;10;41456;21/10/2018;41130;0.992136241;138.5;115.0;;0;0
19/07/2018;10;41446;22/10/2018;40660;0.981035564;141.0;123.0;22/10/2018;119800;0
19/07/2018;10;41436;23/10/2018;41550;1.002751231;139.5;115.0;;0;0
19/07/2018;9;41427;24/10/2018;40790;0.984623555;138.0;123.0;24/10/2018;80430;0
19/07/2018;11;41416;25/10/2018;40710;0.982953448;137.5;122.5;;0;0
19/07/2018;13;41403;26/10/2018;40810;0.985677366;132.5;116.0;26/10/2018;79680;6460
19/07/2018;10;41393;27/10/2018;41050;0.991713575;129.5;117.0;;0;0
19/07/2018;9;41384;28/10/2018;40790;0.985646627;142.5;125.5;;0;0
19/07/2018;12;41372;29/10/2018;41120;0.993908924;134.0;116.5;29/10/2018;120180;0
19/07/2018;10;41362;30/10/2018;40420;0.977225473;141.5;128.0;;0;0
