Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consuption (gr);Feed Consuption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
11/08/2015;;57346;05/10/2015;41700;72.72%;;;;;
11/08/2015;2;57344;06/10/2015;42960;74.92%;;;;;
11/08/2015;;57344;07/10/2015;43200;75.33%;;;;;
11/08/2015;2;57342;08/10/2015;46800;81.62%;;;;;
11/08/2015;;57342;09/10/2015;41940;73.14%;;;;;
11/08/2015;;57342;10/10/2015;46770;81.56%;;;;;
11/08/2015;3;57339;11/10/2015;45120;78.69%;;;;;
11/08/2015;;57339;12/10/2015;45990;80.21%;;;;;
11/08/2015;1;57338;13/10/2015;38880;67.81%;;;;;
11/08/2015;2;57336;14/10/2015;54000;94.18%;;;;;
11/08/2015;1;57335;15/10/2015;50160;87.49%;;;;;
11/08/2015;;57335;16/10/2015;48450;84.50%;;;;;
11/08/2015;2;57333;17/10/2015;48960;85.40%;;;;;
11/08/2015;1;57332;18/10/2015;48120;83.93%;;;;;
11/08/2015;1;57331;19/10/2015;49080;85.61%;;;;;
11/08/2015;1;57330;20/10/2015;51360;89.59%;;;;;
11/08/2015;2;57328;21/10/2015;49780;86.83%;;;;;
11/08/2015;1;57327;22/10/2015;50220;87.60%;;;;;
11/08/2015;;57327;23/10/2015;51150;89.22%;;;;;
11/08/2015;2;57325;24/10/2015;49830;86.93%;;;;;
11/08/2015;;57325;25/10/2015;50040;87.29%;;;;;
11/08/2015;;57325;26/10/2015;50790;88.60%;;;;;
11/08/2015;3;57322;27/10/2015;50460;88.03%;;;;;
11/08/2015;1;57321;28/10/2015;50340;87.82%;;;;;
11/08/2015;1;57320;29/10/2015;50430;87.98%;;;;;
11/08/2015;1;57319;30/10/2015;50080;87.37%;;;;;
11/08/2015;1;57318;31/10/2015;51600;90.02%;;;;;
11/08/2015;;57318;01/11/2015;50640;88.35%;;;;;
11/08/2015;1;57317;02/11/2015;51060;89.08%;;;;;
11/08/2015;;57317;03/11/2015;50880;88.77%;;;;;
11/08/2015;2;57315;04/11/2015;50640;88.35%;;;;;
11/08/2015;;57315;05/11/2015;50820;88.67%;;;;;
11/08/2015;1;57314;06/11/2015;51720;90.24%;;;;;
11/08/2015;2;57312;07/11/2015;50940;88.88%;;;;;
11/08/2015;;57312;08/11/2015;51300;89.51%;;;;;
11/08/2015;1;57311;09/11/2015;51339;89.58%;;;;;
11/08/2015;1;57310;10/11/2015;49560;86.48%;;;;;
11/08/2015;;57310;11/11/2015;51110;89.18%;;;;;
11/08/2015;2;57308;12/11/2015;50970;88.94%;;;;;
