Arrival Chickens Date;Death;Chickens;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
17/11/2016;6;42139;08/01/2017;30080;0.713828045;;;;0;0
17/11/2016;9;42136;09/01/2017;31710;0.752563129;;;;63960;0
17/11/2016;13;42131;10/01/2017;33800;0.802259619;;;;42530;0
17/11/2016;10;42129;11/01/2017;34330;0.814878112;;;;32220;0
17/11/2016;12;42063;12/01/2017;34050;0.809500036;;;;32400;0
17/11/2016;9;42059;13/01/2017;37110;0.882331962;;;;32400;0
17/11/2016;13;42048;14/01/2017;37050;0.881135845;;;;32400;0
17/11/2016;11;42042;15/01/2017;36550;0.869368727;;;;0;0
17/11/2016;7;42032;16/01/2017;37290;0.887181195;;;;75600;9830
17/11/2016;9;42032;17/01/2017;37980;0.903597259;;;;32400;0
17/11/2016;10;42026;18/01/2017;36700;0.873268929;;;;32400;0
17/11/2016;8;42025;19/01/2017;38970;0.927305175;;;;43200;0
17/11/2016;8;42022;20/01/2017;38890;0.925467612;;;;32400;0
17/11/2016;9;42018;21/01/2017;37120;0.883430911;;;;43200;0
17/11/2016;5;42017;22/01/2017;40440;0.962467573;;;;0;0
17/11/2016;7;42017;23/01/2017;40260;0.958183592;;;;75600;0
17/11/2016;5;42017;24/01/2017;38810;0.923673751;;;;32400;0
17/11/2016;4;42017;25/01/2017;40340;0.960087584;;;;43200;0
17/11/2016;12;42010;26/01/2017;39520;0.940728398;;;;32400;0
17/11/2016;6;42008;27/01/2017;38930;0.926728242;;;;43200;0
17/11/2016;12;41999;28/01/2017;39200;0.933355556;;;;32400;0
17/11/2016;5;41997;29/01/2017;39180;0.93292378;;;;0;0
17/11/2016;13;41882;30/01/2017;39790;0.950050141;;;;75600;9990
17/11/2016;5;41880;31/01/2017;40520;0.967526266;;;;43200;0
17/11/2016;5;41879;01/02/2017;39880;0.952267246;;;;43200;0
17/11/2016;9;41875;02/02/2017;39090;0.933492537;;;;32400;0
17/11/2016;13;41875;03/02/2017;39300;0.938507463;;;;42209;0
17/11/2016;6;41874;04/02/2017;40150;0.958828868;;;;32400;0
17/11/2016;5;41874;05/02/2017;39750;0.949276401;;;;0;0
17/11/2016;6;41874;06/02/2017;38430;0.91775326;;;;75600;0
17/11/2016;7;41874;07/02/2017;40660;0.971008263;;;;43200;8130
17/11/2016;4;41873;08/02/2017;38810;0.926850238;;;;0;0
17/11/2016;8;41871;09/02/2017;40910;0.977048554;;;;75600;0
17/11/2016;6;41870;10/02/2017;38570;0.921184619;;;;0;0
17/11/2016;8;41868;11/02/2017;39910;0.953233973;;;;0;0
17/11/2016;5;41868;12/02/2017;39620;0.946307442;;;;0;0
17/11/2016;8;41866;13/02/2017;40230;0.960922945;;;;75600;0
17/11/2016;5;41866;14/02/2017;39030;0.932260068;;;;118800;7060
17/11/2016;5;41865;15/02/2017;39840;0.95163024;;;;0;0
17/11/2016;8;41865;16/02/2017;39640;0.94685298;;;;75600;0
17/11/2016;7;41865;17/02/2017;39620;0.946375254;;;;0;0
17/11/2016;9;41865;18/02/2017;40110;0.958079541;;;;0;0
17/11/2016;7;41865;19/02/2017;40390;0.964767706;;;;0;0
17/11/2016;8;41864;20/02/2017;39870;0.952369578;;;;0;0
17/11/2016;11;41864;21/02/2017;39800;0.950697497;;;;0;0
17/11/2016;13;41859;22/02/2017;40130;0.958694665;;;;0;0
17/11/2016;17;41853;23/02/2017;40230;0.961221418;;;;280440;0
17/11/2016;13;41853;24/02/2017;40650;0.971256541;;;;0;0
17/11/2016;9;41853;25/02/2017;40290;0.962655007;;;;0;0
17/11/2016;5;41852;26/02/2017;39790;0.950731148;;;;0;0
17/11/2016;8;41852;27/02/2017;40700;0.972474434;;;;0;0
17/11/2016;7;41852;28/02/2017;40430;0.966023129;;;;194400;10240
17/11/2016;10;41852;01/03/2017;40770;0.974146994;;;;0;0
17/11/2016;4;41852;02/03/2017;40190;0.960288636;;;;55600;0
17/11/2016;7;41852;03/03/2017;40450;0.966501004;;;;0;0
17/11/2016;5;41850;04/03/2017;40420;0.965830346;;;;0;0
17/11/2016;6;41850;05/03/2017;40630;0.970848268;;;;0;0
17/11/2016;8;41848;06/03/2017;39920;0.953928503;;;;162000;0
17/11/2016;11;41848;07/03/2017;40490;0.967549226;;;;0;0
17/11/2016;10;41847;08/03/2017;40460;0.96685545;;;;0;0
17/11/2016;7;41844;09/03/2017;40130;0.959038333;;;;115980;10150
17/11/2016;4;41843;10/03/2017;40250;0.961929116;;;;0;0
17/11/2016;8;41842;11/03/2017;40660;0.971750872;;;;0;0
17/11/2016;8;41839;12/03/2017;39840;0.952221611;;;;0;0
17/11/2016;7;41838;13/03/2017;39980;0.955590611;;;;162000;0
17/11/2016;5;41836;14/03/2017;40630;0.971173152;;;;0;0
17/11/2016;7;41835;15/03/2017;41170;0.984104219;;;;0;0
17/11/2016;5;41834;16/03/2017;40070;0.957833341;;;;118800;4840
17/11/2016;5;41832;17/03/2017;40230;0.961703959;;;;0;0
17/11/2016;8;41829;18/03/2017;39940;0.954839944;;;;0;0
17/11/2016;9;41828;19/03/2017;41600;0.994549106;;;;0;0
17/11/2016;7;41825;20/03/2017;39920;0.954453078;;;;151200;0
17/11/2016;10;41822;21/03/2017;40760;0.974606666;;;;0;0
17/11/2016;7;41819;22/03/2017;40590;0.970611445;;;;0;0
17/11/2016;8;41814;23/03/2017;40290;0.963552877;;;;118800;5660
17/11/2016;10;41808;24/03/2017;39780;0.951492537;;;;40530;0
17/11/2016;18;41793;25/03/2017;40780;0.975761491;;;;43200;0
17/11/2016;8;41789;26/03/2017;40490;0.968915265;;;;0;0
17/11/2016;17;41777;27/03/2017;39690;0.950044283;;;;75600;0
17/11/2016;20;41760;28/03/2017;40370;0.966714559;;;;43200;0
17/11/2016;13;41751;29/03/2017;40180;0.962372159;;;;32400;0
17/11/2016;8;41746;30/03/2017;39870;0.955061563;;;;47430;0
17/11/2016;16;41739;31/03/2017;39340;0.942523779;;;;42420;0
17/11/2016;9;41735;01/04/2017;40520;0.970887744;;;;32400;0
17/11/2016;16;41726;02/04/2017;41330;0.990509514;;;;47310;0
17/11/2016;10;41720;03/04/2017;37460;0.8978907;;;;57060;0
17/11/2016;7;41716;04/04/2017;40170;0.962939879;;;;14430;0
17/11/2016;10;41709;05/04/2017;40370;0.967896617;;;;43200;0
17/11/2016;15;41702;06/04/2017;40890;0.980528512;;;;32400;3120
17/11/2016;7;41698;07/04/2017;39900;0.956880426;;;;43200;0
17/11/2016;6;41697;08/04/2017;39660;0.951147565;;;;43140;0
17/11/2016;9;41696;09/04/2017;40090;0.961483116;;;;0;0
17/11/2016;9;41695;10/04/2017;39300;0.94255906;;;;75600;0
17/11/2016;4;41694;11/04/2017;39630;0.950496474;;;;43200;0
17/11/2016;11;41689;12/04/2017;40350;0.967881216;;;;41760;0
17/11/2016;13;41681;13/04/2017;40960;0.982701951;;;;32400;3720
17/11/2016;15;41675;14/04/2017;40070;0.961487702;;;;43200;0
17/11/2016;13;41671;15/04/2017;37840;0.908065561;;;;32400;0
17/11/2016;5;41670;16/04/2017;40630;0.975041997;;;;0;0
17/11/2016;10;41667;17/04/2017;37370;0.896872825;;;;0;0
17/11/2016;7;41665;18/04/2017;39990;0.959798392;;;;118800;0
17/11/2016;10;41659;19/04/2017;40960;0.983220913;;;;43200;0
17/11/2016;6;41656;20/04/2017;40660;0.976089879;;;;43200;3190
17/11/2016;7;41654;21/04/2017;39770;0.95477025;;;;32400;0
17/11/2016;8;41652;22/04/2017;40100;0.962738884;;;;43200;0
17/11/2016;5;41650;23/04/2017;40130;0.963505402;;;;0;0
17/11/2016;7;41648;24/04/2017;40430;0.970754898;;;;75600;0
17/11/2016;8;41645;25/04/2017;39580;0.950414215;;;;0;0
17/11/2016;7;41643;26/04/2017;39680;0.952861225;;;;86400;0
17/11/2016;7;41642;27/04/2017;40380;0.969694059;;;;32400;3180
17/11/2016;10;41641;28/04/2017;38500;0.924569535;;;;43200;0
17/11/2016;11;41641;29/04/2017;40750;0.978602819;;;;42810;0
17/11/2016;10;41629;30/04/2017;40310;0.968315357;;;;0;0
17/11/2016;11;41628;01/05/2017;39490;0.948640338;;;;0;0
17/11/2016;10;41628;02/05/2017;39620;0.951763236;;;;118170;0
17/11/2016;8;41624;03/05/2017;40540;0.973957332;;;;32400;0
17/11/2016;6;41621;04/05/2017;40020;0.961533841;;;;43200;3300
17/11/2016;14;41610;05/05/2017;38860;0.933910118;;;;41570;0
17/11/2016;10;41607;06/05/2017;39550;0.950561204;;;;32400;0
17/11/2016;7;41605;07/05/2017;40970;0.984737411;;;;0;0
17/11/2016;6;41603;08/05/2017;39970;0.960748023;;;;75600;0
17/11/2016;5;41601;09/05/2017;41580;0.999495204;;;;42200;0
17/11/2016;12;41598;10/05/2017;39880;0.958699937;;;;42200;0
17/11/2016;5;41596;11/05/2017;39850;0.95802481;;;;43200;0
17/11/2016;7;41593;12/05/2017;40390;0.971076864;;;;40050;3750
17/11/2016;8;41593;13/05/2017;39220;0.942947131;;;;34860;0
17/11/2016;9;41591;14/05/2017;40800;0.980981462;;;;0;0
17/11/2016;6;41591;15/05/2017;40680;0.978096223;;;;84330;0
17/11/2016;7;41591;16/05/2017;39110;0.940347671;;;;38670;0
17/11/2016;4;41591;17/05/2017;38870;0.934577192;;;;38400;0
17/11/2016;10;41584;18/05/2017;40380;0.971046556;;;;39990;2860
17/11/2016;7;41581;19/05/2017;40200;0.966787716;;;;39840;0
17/11/2016;13;41573;20/05/2017;37640;0.905395329;;;;37200;0
17/11/2016;8;41568;21/05/2017;37980;0.913683603;;;;0;0
17/11/2016;5;41566;22/05/2017;41100;0.988788914;;;;78210;0
17/11/2016;8;41564;23/05/2017;37740;0.907997305;;;;37290;0
17/11/2016;9;41558;24/05/2017;38360;0.923047307;;;;36450;0
17/11/2016;11;41553;25/05/2017;39580;0.95251847;;;;37710;3180
17/11/2016;13;41553;26/05/2017;40050;0.963829326;;;;42600;0
17/11/2016;13;41543;27/05/2017;37350;0.899068435;;;;36960;0
17/11/2016;14;41523;28/05/2017;41400;0.997037786;;;;0;0
17/11/2016;18;41517;29/05/2017;35340;0.851217574;;;;76020;0
17/11/2016;9;41513;30/05/2017;38430;0.925734107;;;;38100;0
17/11/2016;11;41513;31/05/2017;38220;0.920675451;;;;37830;0
17/11/2016;9;41509;01/06/2017;40470;0.974969284;;;;47520;11410
17/11/2016;9;41506;02/06/2017;38280;0.922276297;;;;0;0
17/11/2016;10;41506;03/06/2017;40540;0.976726256;;;;0;0
17/11/2016;11;41502;04/06/2017;37510;0.903811864;;;;0;0
17/11/2016;11;41500;05/06/2017;34520;0.831807229;;;;0;0
17/11/2016;6;41497;06/06/2017;38300;0.922958286;;;;0;0
17/11/2016;11;41492;07/06/2017;37860;0.912465054;;;;0;0
17/11/2016;5;41490;08/06/2017;32260;0.777536756;;;;0;0
17/11/2016;6;41487;09/06/2017;37650;0.907513197;;;;276840;4050
17/11/2016;11;41482;10/06/2017;36900;0.889542452;;;;0;0
17/11/2016;7;41479;11/06/2017;39990;0.964102317;;;;0;0
17/11/2016;9;41475;12/06/2017;37500;0.904159132;;;;113040;0
17/11/2016;9;41469;13/06/2017;37900;0.913935711;;;;0;0
17/11/2016;10;41469;14/06/2017;38370;0.925269478;;;;75360;0
17/11/2016;12;41463;15/06/2017;40380;0.973880327;;;;0;0
17/11/2016;12;41454;16/06/2017;35010;0.844550586;;;;74640;3270
17/11/2016;5;41452;17/06/2017;38850;0.937228602;;;;0;0
17/11/2016;9;41452;18/06/2017;37590;0.906831998;;;;0;0
17/11/2016;10;41447;19/06/2017;38730;0.934446401;;;;113430;0
17/11/2016;12;41440;20/06/2017;40470;0.976592664;;;;0;0
17/11/2016;7;41437;21/06/2017;38190;0.92164008;;;;77550;0
17/11/2016;9;41432;22/06/2017;40230;0.970988608;;;;0;0
17/11/2016;6;41429;23/06/2017;33940;0.819232904;;;;73140;4140
17/11/2016;8;41429;24/06/2017;37230;0.898645876;;;;0;0
17/11/2016;6;41426;25/06/2017;40710;0.982716169;;;;0;0
17/11/2016;10;41421;26/06/2017;36960;0.892301007;;;;113100;0
17/11/2016;15;41415;27/06/2017;40050;0.967040927;;;;0;0
17/11/2016;7;41412;28/06/2017;37110;0.896117068;;;;76080;0
17/11/2016;9;41409;29/06/2017;39000;0.941824241;;;;0;0
17/11/2016;12;41402;30/06/2017;36660;0.88546447;;;;74580;3980
17/11/2016;17;41394;01/07/2017;39870;0.96318307;;;;0;0
17/11/2016;17;41383;02/07/2017;36320;0.877655076;;;;0;0
17/11/2016;9;41378;03/07/2017;38930;0.940838127;;;;112620;0
17/11/2016;18;41364;04/07/2017;40710;0.98418915;;;;0;0
17/11/2016;8;41361;05/07/2017;35340;0.854428084;;;;74910;0
17/11/2016;13;41351;06/07/2017;38820;0.93879229;;;;0;0
17/11/2016;16;41341;07/07/2017;39210;0.94845311;;;;76560;4190
17/11/2016;15;41332;08/07/2017;39990;0.967531211;;;;0;0
17/11/2016;14;41322;09/07/2017;39810;0.963409322;;;;0;0
17/11/2016;29;41298;10/07/2017;38880;0.941449949;;;;116640;0
17/11/2016;12;41289;11/07/2017;35190;0.852285112;;;;0;0
17/11/2016;16;41276;12/07/2017;38190;0.925235003;;;;72210;0
17/11/2016;9;41272;13/07/2017;40670;0.98541384;;;;0;0
17/11/2016;23;41258;14/07/2017;33450;0.810751854;;;;64050;4630
17/11/2016;11;41250;15/07/2017;37380;0.906181818;;;;0;0
17/11/2016;12;41243;16/07/2017;35400;0.858327474;;;;0;0
17/11/2016;18;41235;17/07/2017;38900;0.943373348;;;;110160;0
17/11/2016;11;41228;18/07/2017;39790;0.965120792;;;;0;0
17/11/2016;22;41209;19/07/2017;36090;0.875779563;;;;74610;0
17/11/2016;13;41201;20/07/2017;36540;0.886871678;;;;0;0
17/11/2016;6;41198;21/07/2017;36690;0.890577212;;;;72060;3970
17/11/2016;12;41189;22/07/2017;37290;0.905338804;;;;36720;0
17/11/2016;26;41177;23/07/2017;38610;0.937659373;;;;0;0
17/11/2016;17;41163;24/07/2017;38070;0.924859704;;;;0;0
17/11/2016;8;41161;25/07/2017;36600;0.889191225;;;;102840;0
17/11/2016;12;41161;26/07/2017;41090;0.998275066;;;;49560;0
17/11/2016;12;41149;27/07/2017;35410;0.86053124;;;;0;0
17/11/2016;14;41144;28/07/2017;36660;0.891016916;;;;70680;0
17/11/2016;7;41143;29/07/2017;35750;0.868920594;;;;36300;0
17/11/2016;12;41136;30/07/2017;39060;0.949533256;;;;0;0
17/11/2016;7;41134;31/07/2017;38070;0.925511742;;;;75630;0
17/11/2016;10;41128;01/08/2017;36300;0.882610387;;;;35580;0
17/11/2016;5;41126;02/08/2017;39540;0.961435588;;;;38760;0
17/11/2016;14;41117;03/08/2017;36450;0.886494637;;;;35730;0
17/11/2016;6;41114;04/08/2017;37080;0.90188257;;;;36360;5130
17/11/2016;14;41110;05/08/2017;35400;0.861104354;;;;34740;0
17/11/2016;4;41109;06/08/2017;37560;0.91366854;;;;0;0
17/11/2016;11;41103;07/08/2017;39150;0.95248522;;;;75120;0
17/11/2016;8;41098;08/08/2017;37890;0.921942674;;;;37320;0
17/11/2016;5;41096;09/08/2017;36780;0.894977613;;;;36120;0
17/11/2016;12;41091;10/08/2017;35220;0.857121998;;;;34560;0
17/11/2016;14;41085;11/08/2017;36540;0.889375685;;;;35790;4880
17/11/2016;12;41079;12/08/2017;38310;0.932593296;;;;37650;0
17/11/2016;7;41076;13/08/2017;40820;0.99376765;;;;0;0
17/11/2016;10;41072;14/08/2017;34350;0.83633619;;;;74280;0
17/11/2016;5;41070;15/08/2017;35700;0.869247626;;;;0;0
17/11/2016;10;41070;16/08/2017;40200;0.978816654;;;;74670;0
17/11/2016;9;41060;17/08/2017;35010;0.852654652;;;;34410;0
17/11/2016;8;41057;18/08/2017;38160;0.92943956;;;;37590;4220
17/11/2016;12;41053;19/08/2017;38100;0.928068594;;;;37410;0
17/11/2016;5;41052;20/08/2017;37560;0.914937153;;;;0;0
17/11/2016;8;41049;21/08/2017;35100;0.855075641;;;;71280;0
17/11/2016;5;41047;22/08/2017;39750;0.968402076;;;;39180;0
17/11/2016;5;41046;23/08/2017;35670;0.869024996;;;;35130;0
17/11/2016;4;41046;24/08/2017;38340;0.934073966;;;;0;0
17/11/2016;7;41044;25/08/2017;35520;0.865412728;;;;72600;4400
17/11/2016;7;41043;26/08/2017;35910;0.874936043;;;;35240;0
17/11/2016;8;41043;27/08/2017;35730;0.870550398;;;;0;0
17/11/2016;10;41040;28/08/2017;38670;0.942251462;;;;72300;0
17/11/2016;8;41036;29/08/2017;35160;0.856808656;;;;0;0
17/11/2016;8;41035;30/08/2017;37260;0.908005361;;;;71280;0
17/11/2016;5;41033;31/08/2017;39790;0.969707309;;;;0;0
17/11/2016;7;41030;01/09/2017;35810;0.872776018;;;;74330;0
17/11/2016;8;41029;02/09/2017;36600;0.892051963;;;;36000;0
17/11/2016;4;41028;03/09/2017;35100;0.855513308;;;;0;0
17/11/2016;15;41021;04/09/2017;37200;0.906852588;;;;71130;0
17/11/2016;6;41020;05/09/2017;38790;0.945636275;;;;0;0
17/11/2016;14;41013;06/09/2017;37260;0.908492429;;;;74940;0
17/11/2016;6;41011;07/09/2017;37830;0.922435444;;;;0;0
17/11/2016;6;41010;08/09/2017;38400;0.936356986;;;;75060;4200
17/11/2016;7;41008;09/09/2017;34830;0.849346469;;;;0;0
17/11/2016;4;41008;10/09/2017;40380;0.984685915;;;;0;0
17/11/2016;11;41002;11/09/2017;37200;0.907272816;;;;111390;0
17/11/2016;10;40997;12/09/2017;36180;0.882503598;;;;0;0
17/11/2016;5;40995;13/09/2017;35510;0.866203196;;;;70560;0
17/11/2016;11;40992;14/09/2017;36340;0.886514442;;;;0;0
17/11/2016;9;40992;15/09/2017;40440;0.986533958;;;;75610;0
17/11/2016;9;40984;16/09/2017;35760;0.872535624;;;;0;0
17/11/2016;5;40982;17/09/2017;38310;0.934800644;;;;0;0
17/11/2016;4;40981;18/09/2017;39450;0.962641224;;;;111960;5600
17/11/2016;6;40978;19/09/2017;31620;0.771633559;;;;0;0
17/11/2016;6;40976;20/09/2017;39570;0.965687232;;;;69960;0
17/11/2016;10;40971;21/09/2017;38040;0.928461595;;;;0;0
17/11/2016;10;40966;22/09/2017;37350;0.91173168;;;;74220;0
17/11/2016;7;40964;23/09/2017;37650;0.919099697;;;;0;0
17/11/2016;5;40962;24/09/2017;39790;0.971388116;;;;0;0
17/11/2016;9;40961;25/09/2017;34310;0.837626035;;;;110080;3960
17/11/2016;6;40959;26/09/2017;35940;0.877462829;;;;0;0
17/11/2016;10;40954;27/09/2017;34980;0.854129023;;;;52020;0
17/11/2016;4;40953;28/09/2017;35720;0.872219373;;;;0;0
17/11/2016;12;40947;29/09/2017;39970;0.976139888;;;;74700;0
17/11/2016;8;40945;30/09/2017;36870;0.900476249;;;;0;0
17/11/2016;6;40942;01/10/2017;38370;0.937179425;;;;0;0
17/11/2016;5;40941;02/10/2017;34470;0.841943284;;;;108150;3510
17/11/2016;11;40936;03/10/2017;38100;0.930721126;;;;0;0
17/11/2016;9;40936;04/10/2017;39900;0.974692202;;;;76380;0
17/11/2016;8;40928;05/10/2017;35220;0.860535575;;;;0;0
17/11/2016;9;40928;06/10/2017;36450;0.89058835;;;;70380;0
17/11/2016;5;40927;07/10/2017;33870;0.827571041;;;;0;0
17/11/2016;6;40925;08/10/2017;35730;0.873060476;;;;0;0
17/11/2016;8;40923;09/10/2017;34980;0.854776043;;;;103170;0
17/11/2016;7;40920;10/10/2017;37560;0.917888563;;;;0;0
17/11/2016;4;40919;11/10/2017;37470;0.915711528;;;;73980;3460
17/11/2016;8;40917;12/10/2017;35570;0.86932082;;;;0;0
17/11/2016;6;40916;13/10/2017;35220;0.860787956;;;;69210;0
17/11/2016;9;40913;14/10/2017;36210;0.885048762;;;;0;0
17/11/2016;6;40912;15/10/2017;36990;0.904135706;;;;0;0
17/11/2016;7;40909;16/10/2017;37440;0.915202034;;;;72030;0
17/11/2016;8;40906;17/10/2017;36240;0.885933604;;;;0;0
17/11/2016;13;40902;18/10/2017;37620;0.919759425;;;;0;0
17/11/2016;6;40901;19/10/2017;34170;0.835431897;;;;142680;0
17/11/2016;13;40895;20/10/2017;39030;0.954395403;;;;0;0
17/11/2016;13;40890;21/10/2017;34170;0.83565664;;;;0;0
17/11/2016;6;40889;22/10/2017;39690;0.97067671;;;;0;0
17/11/2016;6;40887;23/10/2017;32100;0.785090616;;;;142650;8290
17/11/2016;4;40887;24/10/2017;35250;0.862132218;;;;0;0
17/11/2016;6;40884;25/10/2017;38940;0.952450837;;;;72900;0
17/11/2016;10;40879;26/10/2017;33660;0.823405661;;;;0;0
17/11/2016;9;40879;27/10/2017;36840;0.901196213;;;;69420;0
17/11/2016;9;40873;28/10/2017;36720;0.898392582;;;;0;0
17/11/2016;6;40872;29/10/2017;36000;0.880798591;;;;0;0
17/11/2016;8;40869;30/10/2017;38660;0.945949252;;;;109400;0
17/11/2016;6;40868;31/10/2017;36420;0.891161789;;;;0;0
17/11/2016;10;40863;01/11/2017;35820;0.876587622;;;;0;0
17/11/2016;5;40861;02/11/2017;35820;0.876630528;;;;106290;4420
17/11/2016;9;40857;03/11/2017;36000;0.881121962;;;;0;0
17/11/2016;6;40856;04/11/2017;35670;0.873066379;;;;0;0
17/11/2016;11;40849;05/11/2017;35400;0.866606282;;;;0;0
17/11/2016;19;40846;06/11/2017;36390;0.89090731;;;;140910;0
17/11/2016;7;40844;07/11/2017;36630;0.896826951;;;;0;0
17/11/2016;12;40840;08/11/2017;34710;0.849902057;;;;70050;0
17/11/2016;8;40837;09/11/2017;37020;0.906530842;;;;0;0
17/11/2016;5;40835;10/11/2017;33090;0.810334272;;;;36300;0
17/11/2016;10;40832;11/11/2017;35460;0.86843652;;;;0;0
17/11/2016;4;40831;12/11/2017;37530;0.919154564;;;;0;0
17/11/2016;12;40827;13/11/2017;34650;0.848703064;;;;102380;7710
17/11/2016;10;40822;14/11/2017;35250;0.863504973;;;;0;0
17/11/2016;19;40820;15/11/2017;34830;0.853258207;;;;102780;0
17/11/2016;10;40815;16/11/2017;33900;0.830576994;;;;0;0
17/11/2016;7;40815;17/11/2017;36660;0.898199191;;;;69180;0
17/11/2016;13;40809;18/11/2017;34620;0.848342277;;;;0;0
17/11/2016;6;40807;19/11/2017;35370;0.866763055;;;;0;0
17/11/2016;11;40804;20/11/2017;33630;0.824183904;;;;101670;0
17/11/2016;11;40798;21/11/2017;36000;0.882396196;;;;0;0
17/11/2016;10;40796;22/11/2017;36180;0.886851652;;;;70800;7160
17/11/2016;7;40793;23/11/2017;34650;0.849410438;;;;0;0
17/11/2016;8;40791;24/11/2017;33090;0.811208355;;;;66480;0
17/11/2016;7;40788;25/11/2017;35850;0.878934981;;;;0;0
17/11/2016;4;40787;26/11/2017;36000;0.882634173;;;;0;0
17/11/2016;13;40782;27/11/2017;34650;0.849639547;;;;104610;0
17/11/2016;16;40776;28/11/2017;33960;0.832842849;;;;0;0
17/11/2016;7;40774;29/11/2017;33990;0.833619463;;;;66830;0
17/11/2016;11;40769;30/11/2017;34380;0.843287792;;;;0;0
17/11/2016;5;40767;01/12/2017;33510;0.821988373;;;;66780;5370
17/11/2016;11;40762;02/12/2017;33690;0.826505078;;;;0;0
17/11/2016;6;40761;03/12/2017;34290;0.841245308;;;;0;0
17/11/2016;15;40754;04/12/2017;34320;0.842125926;;;;100230;0
17/11/2016;8;40751;05/12/2017;35310;0.866481804;;;;0;0
17/11/2016;12;40746;06/12/2017;31350;0.769400677;;;;0;0
17/11/2016;10;40743;07/12/2017;34080;0.836462705;;;;73920;0
17/11/2016;14;40738;08/12/2017;32160;0.789434926;;;;0;0
17/11/2016;9;40736;09/12/2017;32700;0.802729772;;;;66100;0
17/11/2016;9;40734;10/12/2017;32370;0.794667845;;;;0;0
17/11/2016;14;40727;11/12/2017;35010;0.859626292;;;;0;0
17/11/2016;8;40725;12/12/2017;34740;0.853038674;;;;97560;7830
17/11/2016;14;40719;13/12/2017;28350;0.696235173;;;;0;0
17/11/2016;9;40717;14/12/2017;34320;0.842891176;;;;95370;0
17/11/2016;7;40715;15/12/2017;33540;0.823775021;;;;0;0
17/11/2016;13;40709;16/12/2017;35130;0.862954138;;;;67320;0
17/11/2016;10;40709;17/12/2017;32070;0.787786485;;;;0;0
17/11/2016;13;40703;18/12/2017;35520;0.872662949;;;;0;0
17/11/2016;8;40701;19/12/2017;32520;0.798997568;;;;97830;0
17/11/2016;9;40698;20/12/2017;33360;0.8196963;;;;0;0
17/11/2016;14;40691;21/12/2017;34140;0.839006168;;;;65850;7400
17/11/2016;12;40685;22/12/2017;33900;0.83323092;;;;0;0
17/11/2016;7;40683;23/12/2017;33240;0.81704889;;;;33120;0
17/11/2016;14;40675;24/12/2017;31620;0.777381684;;;;0;0
17/11/2016;16;40663;25/12/2017;30240;0.74367361;;;;0;0
17/11/2016;13;40661;26/12/2017;33510;0.824131231;;;;0;0
17/11/2016;13;40658;27/12/2017;33060;0.813124108;;;;0;0
17/11/2016;8;40658;28/12/2017;34410;0.846327906;;;;158160;0
17/11/2016;12;40654;29/12/2017;29940;0.736458897;;;;0;0
17/11/2016;7;40652;30/12/2017;30780;0.757158319;;;;93210;6480
17/11/2016;7;40651;31/12/2017;32190;0.791862439;;;;0;0
17/11/2016;10;40649;01/01/2018;31710;0.780092991;;;;0;0
17/11/2016;9;40646;02/01/2018;31740;0.780888648;;;;93600;0
17/11/2016;10;40643;03/01/2018;30690;0.755111581;;;;0;0
17/11/2016;8;40641;04/01/2018;30480;0.749981546;;;;59940;0
17/11/2016;8;40641;05/01/2018;29850;0.734479959;;;;0;0
