Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consumption (gr);Feed Consumption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
17/11/2016;;42230;23/12/2016;3300;7.81%;;;;0;0
17/11/2016;;42230;24/12/2016;;;;;;0;0
17/11/2016;;42230;25/12/2016;4170;9.87%;;;;0;0
17/11/2016;;42230;26/12/2016;;;;;;0;0
17/11/2016;41;42210;27/12/2016;;;;;;0;0
17/11/2016;;42210;28/12/2016;9690;22.96%;;;;0;0
17/11/2016;4;42208;29/12/2016;;;;;;30240;0
17/11/2016;;42208;30/12/2016;11580;27.44%;;;;0;0
17/11/2016;2;42206;31/12/2016;12240;29.00%;;;;0;0
17/11/2016;2;42206;01/01/2017;14040;33.27%;;;;0;0
17/11/2016;4;42202;02/01/2017;16530;39.17%;;;;0;0
17/11/2016;8;42189;03/01/2017;17370;41.17%;;;;64800;0
17/11/2016;5;42186;04/01/2017;24420;57.89%;;;;21600;0
17/11/2016;6;42182;05/01/2017;24120;57.18%;;;;29280;0
17/11/2016;15;42169;06/01/2017;26590;63.06%;;;;0;0
17/11/2016;35;42140;07/01/2017;28270;67.09%;;;;46320;0
17/11/2016;3;42139;08/01/2017;30080;71.38%;;;;0;0
17/11/2016;6;42136;09/01/2017;31710;75.26%;;;;63960;0
17/11/2016;10;42131;10/01/2017;33800;80.23%;;;;42530;0
17/11/2016;7;42129;11/01/2017;34330;81.49%;;;;32220;0
17/11/2016;9;42063;12/01/2017;34050;80.95%;;;;32400;0
17/11/2016;6;42059;13/01/2017;37110;88.23%;;;;32400;0
17/11/2016;10;42048;14/01/2017;37050;88.11%;;;;32400;0
17/11/2016;8;42042;15/01/2017;36550;86.94%;;;;0;0
17/11/2016;4;42032;16/01/2017;37290;88.72%;;;;75600;9830
17/11/2016;1;42032;17/01/2017;37980;90.36%;;;;32400;0
17/11/2016;12;42026;18/01/2017;36700;87.33%;;;;32400;0
17/11/2016;5;42025;19/01/2017;38970;92.73%;;;;43200;0
17/11/2016;5;42022;20/01/2017;38890;92.55%;;;;32400;0
17/11/2016;6;42018;21/01/2017;37120;88.34%;;;;43200;0
17/11/2016;2;42017;22/01/2017;40440;96.25%;;;;0;0
17/11/2016;;42017;23/01/2017;40260;95.82%;;;;75600;0
17/11/2016;2;42017;24/01/2017;38810;92.37%;;;;32400;0
17/11/2016;1;42017;25/01/2017;40340;96.01%;;;;43200;0
17/11/2016;9;42010;26/01/2017;39520;94.07%;;;;32400;0
17/11/2016;3;42008;27/01/2017;38930;92.67%;;;;43200;0
17/11/2016;9;41999;28/01/2017;39200;93.34%;;;;32400;0
17/11/2016;2;41997;29/01/2017;39180;93.29%;;;;0;0
17/11/2016;117;41882;30/01/2017;39790;95.01%;;;;75600;9990
17/11/2016;2;41880;31/01/2017;40520;96.75%;;;;43200;0
17/11/2016;2;41879;01/02/2017;39880;95.23%;;;;43200;0
17/11/2016;6;41875;02/02/2017;39090;93.35%;;;;32400;0
17/11/2016;;41875;03/02/2017;39300;93.85%;;;;42209;0
17/11/2016;3;41874;04/02/2017;40150;95.88%;;;;32400;0
17/11/2016;2;41874;05/02/2017;39750;94.93%;;;;0;0
17/11/2016;3;41874;06/02/2017;38430;91.78%;;;;75600;0
17/11/2016;4;41874;07/02/2017;40660;97.10%;;;;43200;8130
