Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp
7/19/2018,10,42009,0.0002380442,9/1/2018,31770,0.756266514,100.0,97.0,,0,0,19.5,16,25.6
7/19/2018,11,41998,0.0002619172,9/2/2018,31960,0.760988619,101.0,105.5,,0,0,18.4,16,22.3
7/19/2018,11,41987,0.0002619859,9/3/2018,33520,0.798342344,104.5,102.0,9/3/2018,87750,0,20.8,16,27.6
7/19/2018,8,41979,0.0001905715,9/4/2018,35440,0.84423164,107.0,119.5,,0,0,21,14.4,28.6
7/19/2018,11,41968,0.0002621045,9/5/2018,35300,0.841117042,110.0,113.0,9/5/2018,66450,0,22,14.9,30.1
7/19/2018,10,41958,0.0002383336,9/6/2018,36310,0.865389199,110.5,119.0,,0,0,22.5,15.8,30.6
7/19/2018,10,41948,0.0002383904,9/7/2018,38340,0.913988748,111.0,115.5,9/7/2018,68990,8270,21.1,17.4,27.1
7/19/2018,9,41939,0.0002145974,9/8/2018,35650,0.850044112,112.0,111.0,,0,0,22.1,15.8,29.2
7/19/2018,9,41930,0.0002146435,9/9/2018,37540,0.895301693,107.5,121.5,,0,0,22.7,15.7,30.8
7/19/2018,9,41921,0.0002146895,9/10/2018,38070,0.908136733,117.5,118.0,9/10/2018,107880,0,23.4,16.8,31.3
7/19/2018,6,41915,0.0001431468,9/11/2018,37240,0.88846475,120.0,116.0,,0,0,23.6,17.3,31.8
7/19/2018,8,41907,0.0001908989,9/12/2018,39690,0.947097144,119.5,119.0,9/12/2018,72810,0,24.1,17.3,32.4
7/19/2018,9,41898,0.0002148074,9/13/2018,38380,0.916034178,121.5,129.0,9/13/2018,38400,8280,23.2,18.1,30
7/19/2018,10,41888,0.0002387319,9/14/2018,38990,0.930815508,123.5,110.5,9/14/2018,37380,0,23.7,18.3,31.3
7/19/2018,8,41880,0.0001910220,9/15/2018,39080,0.933142311,125.5,108.0,,0,0,22.3,18.3,28.3
7/19/2018,9,41871,0.0002149459,9/16/2018,39770,0.949822073,128.5,120.0,,0,0,22.2,16.3,28.8
7/19/2018,8,41863,0.0001910995,9/17/2018,38405,0.917397224,128.0,123.0,9/17/2018,114750,0,23.1,17.4,30.1
7/19/2018,9,41854,0.0002150332,9/18/2018,39350,0.940172982,126.0,118.5,,0,0,22.6,17.6,29.4
7/19/2018,7,41847,0.0001672760,9/19/2018,39780,0.950605778,129.0,120.5,9/19/2018,64720,7620,22.4,16.8,30.7
7/19/2018,7,41840,0.0001673040,9/20/2018,40095,0.958293499,144.0,117.0,,0,0,23.3,16.9,30.9
7/19/2018,9,41831,0.0002151514,9/21/2018,39890,0.953599006,138.5,117.5,9/21/2018,77730,0,23,16.2,31.2
7/19/2018,8,41823,0.0001912823,9/22/2018,40010,0.956650647,138.0,118.5,,0,0,22.9,17,30.8
7/19/2018,8,41815,0.0001913189,9/23/2018,40400,0.966160469,135.0,121.0,,0,0,21.2,15.4,28.1
7/19/2018,9,41806,0.0002152801,9/24/2018,41390,0.990049275,138.0,125.5,9/24/2018,117450,0,21.2,15.1,28.3
7/19/2018,6,41800,0.0001435407,9/25/2018,39650,0.948564593,139.0,121.5,9/25/2018,40500,0,15.3,8.7,21.7
7/19/2018,7,41793,0.0001674922,9/26/2018,40610,0.971693824,140.5,118.0,9/26/2018,38880,0,13.4,8.1,19.7
7/19/2018,8,41785,0.0001914563,9/27/2018,40130,0.960392485,130.5,117.5,,0,0,14.6,7.2,24.9
7/19/2018,9,41776,0.0002154347,9/28/2018,40780,0.97615856,143.5,122.0,9/28/2018,79230,8100,16.6,8.9,27.3
7/19/2018,10,41766,0.0002394292,9/29/2018,40070,0.959392808,132.0,111.0,,0,0,18.5,9.3,27
7/19/2018,9,41757,0.0002155327,9/30/2018,40950,0.980673899,149.0,122.0,,0,0,16.3,12.8,22.4
7/19/2018,9,41748,0.0002155792,10/1/2018,40380,0.967231963,144.5,117.0,10/1/2018,118950,0,14,10.2,20
7/19/2018,7,41741,0.0001677008,10/2/2018,40520,0.970748185,141.5,120.0,,0,0,14.8,9.3,21
7/19/2018,8,41733,0.0001916948,10/3/2018,40600,0.972851221,148.0,123.0,10/3/2018,79410,0,14.1,7.6,22.4
7/19/2018,6,41727,0.0001437918,10/4/2018,40690,0.975147986,137.0,116.0,,0,0,15.4,8.5,24.3
7/19/2018,7,41720,0.0001677852,10/5/2018,40880,0.979865772,145.0,122.0,10/5/2018,79470,6080,16,8,23.5
7/19/2018,6,41714,0.0001438366,10/6/2018,39880,0.956033945,127.5,118.0,,0,0,15.8,14.1,18.7
7/19/2018,5,41709,0.0001198782,10/7/2018,41660,0.998825194,137.5,119.5,,0,0,16.5,13.1,23.4
7/19/2018,9,41700,0.0002158273,10/8/2018,40650,0.974820144,133.5,122.0,10/8/2018,119820,0,17.8,11.5,24.8
7/19/2018,7,41693,0.0001678939,10/9/2018,40430,0.969707145,137.5,119.0,,0,0,18.1,12.6,25.6
7/19/2018,7,41686,0.0001679221,10/10/2018,40400,0.969150314,140.5,119.5,10/10/2018,79350,0,17.9,12.3,24.9
7/19/2018,7,41679,0.0001679503,10/11/2018,39640,0.951078481,139.0,114.0,,0,0,17.9,11.8,22.1
7/19/2018,8,41671,0.0001919800,10/12/2018,41090,0.98605745,139.0,122.5,10/12/2018,78450,5990,18,12.9,25.2
7/19/2018,7,41664,0.0001680108,10/13/2018,41130,0.98718318,147.5,128.0,,0,0,16.1,10.7,24.8
7/19/2018,7,41657,0.0001680390,10/14/2018,40650,0.975826392,144.5,122.0,,0,0,15.8,9.2,23.8
7/19/2018,7,41650,0.0001680672,10/15/2018,40850,0.980792317,144.5,120.0,10/15/2018,120360,0,15.4,9.3,23.5
7/19/2018,7,41643,0.0001680955,10/16/2018,40610,0.97519391,141.0,119.5,,0,0,16.8,10.8,22.8
7/19/2018,8,41635,0.0001921460,10/17/2018,41270,0.991233337,139.5,118.0,10/17/2018,79800,0,17.7,15,22.1
7/19/2018,8,41627,0.0001921830,10/18/2018,39630,0.952026329,147.0,122.0,,0,0,18,12.8,24.9
7/19/2018,7,41620,0.0001681884,10/19/2018,40790,0.980057665,143.0,118.0,10/19/2018,79350,5940,16.2,10.6,24.8
7/19/2018,7,41613,0.0001682167,10/20/2018,40660,0.977098503,139.0,114.0,,0,0,16.1,11.5,24.1
7/19/2018,7,41606,0.0001682450,10/21/2018,41130,0.988559342,138.5,115.0,,0,0,13.3,8.9,20.7
7/19/2018,7,41599,0.0001682733,10/22/2018,40660,0.977427342,141.0,123.0,10/22/2018,119800,0,11.2,4.5,20.5
7/19/2018,7,41592,0.0001683016,10/23/2018,41550,0.99899019,139.5,115.0,,0,0,12.7,4.6,21
7/19/2018,6,41586,0.0001442793,10/24/2018,40790,0.980858943,138.0,123.0,10/24/2018,80430,0,16.4,10.5,28.6
7/19/2018,8,41578,0.0001924094,10/25/2018,40710,0.979123575,137.5,122.5,,0,0,15.1,10.3,21.9
7/19/2018,10,41568,0.0002405697,10/26/2018,40810,0.981764819,132.5,116.0,10/26/2018,79680,6460,14.8,11.7,18.7
7/19/2018,7,41561,0.0001684271,10/27/2018,41050,0.987704819,129.5,117.0,,0,0,14.9,13.6,16.4
7/19/2018,6,41555,0.0001443870,10/28/2018,40790,0.981590663,142.5,125.5,,0,0,15.5,13.3,17.6
7/19/2018,9,41546,0.0002166274,10/29/2018,41120,0.989746305,134.0,116.5,10/29/2018,120180,0,15.7,12.4,18.4
7/19/2018,7,41539,0.0001685163,10/30/2018,40420,0.97306146,141.5,128.0,,0,0,12.9,8.9,18.3
7/19/2018,7,41532,0.0001685447,10/31/2018,40740,0.980930367,139.0,124.0,10/31/2018,79950,0,12.6,7.7,16.3
7/19/2018,8,41524,0.0001926597,11/1/2018,41150,0.990993161,137.5,128.0,,0,0,14,11.3,18.4
7/19/2018,6,41518,0.0001445156,11/2/2018,40210,0.968495592,128.0,104.5,11/2/2018,79980,6210,13.6,12.7,15.9
7/19/2018,8,41510,0.0001927246,11/3/2018,40660,0.979523007,138.0,129.0,,0,0,15.1,13.2,18.1
7/19/2018,6,41504,0.0001445644,11/4/2018,41100,0.990265998,134.5,121.0,,0,0,15.4,10.8,20.3
7/19/2018,8,41496,0.0001927897,11/5/2018,40400,0.973587816,138.0,129.0,11/5/2018,119280,0,15.6,14,17.5
7/19/2018,7,41489,0.0001687194,11/6/2018,40470,0.975439273,133.5,129.0,,0,0,16.2,15,18.5
7/19/2018,7,41482,0.0001687479,11/7/2018,40080,0.966202208,137.5,134.5,11/7/2018,79020,0,14.8,11.7,17.6
7/19/2018,8,41474,0.0001928919,11/8/2018,40740,0.982302165,134.5,119.0,,0,0,14.6,11.8,20.6
7/19/2018,8,41466,0.0001929291,11/9/2018,40300,0.971880577,133.0,122.0,11/9/2018,78780,6220,12.3,10.5,15.4
7/19/2018,6,41460,0.0001447178,11/10/2018,40710,0.981910275,131.5,126.0,,0,0,12.3,11.7,13.1
7/19/2018,8,41452,0.0001929943,11/11/2018,40830,0.984994693,137.5,130.0,,0,0,13.6,12,15.9
7/19/2018,7,41445,0.0001688985,11/12/2018,41230,0.994812402,130.0,125.0,11/12/2018,118320,0,14,10.2,19
7/19/2018,8,41437,0.0001930642,11/13/2018,40410,0.975215387,132.0,129.5,,0,0,13.6,11.4,17.9
7/19/2018,8,41429,0.0001931015,11/14/2018,40470,0.976851964,133.0,128.0,11/14/2018,79080,0,12.9,8.4,18.8
7/19/2018,8,41421,0.0001931387,11/15/2018,40750,0.983800488,132.0,133.5,,0,0,10.2,8,13.6
7/19/2018,6,41415,0.0001448750,11/16/2018,40770,0.984425933,132.0,115.5,11/16/2018,79260,8150,9,3.7,13.6
7/19/2018,8,41407,0.0001932040,11/17/2018,40570,0.979786027,132.0,128.0,,0,0,7.4,3,13
7/19/2018,6,41401,0.0001449240,11/18/2018,40340,0.9743726,132.0,118.5,,0,0,4.9,-0.1,11.8
7/19/2018,7,41394,0.0001691066,11/19/2018,40880,0.987582741,139.5,117.0,11/19/2018,119070,0,4.2,-1.3,8.3
7/19/2018,9,41385,0.0002174701,11/20/2018,40540,0.979581974,147.5,124.0,,0,0,4.4,3.2,6.9
7/19/2018,7,41378,0.0001691720,11/21/2018,41070,0.992556431,147.0,119.5,11/21/2018,80040,0,5.7,1.4,10.8
7/19/2018,7,41371,0.0001692006,11/22/2018,40860,0.987648353,151.0,119.5,,0,0,8,6.2,11.9
7/19/2018,7,41364,0.0001692293,11/23/2018,40800,0.986364955,160.0,128.0,11/23/2018,80400,0,8.1,6.2,9.5
7/19/2018,8,41356,0.0001934423,11/24/2018,40600,0.981719702,157.0,125.5,,0,0,10,8.9,11.7
7/19/2018,6,41350,0.0001451028,11/25/2018,41040,0.992503023,151.5,119.5,,0,0,9.7,8.6,12.3
7/19/2018,7,41343,0.0001693152,11/26/2018,36350,0.879229858,156.5,118.5,11/26/2018,119700,0,8.9,6.5,13.4
7/19/2018,8,41335,0.0001935406,11/27/2018,41000,0.991895488,150.0,125.0,11/27/2018,34550,8280,9.4,6.3,14.3
7/19/2018,6,41329,0.0001451765,11/28/2018,40000,0.967843403,154.0,122.0,,0,0,4.1,1.3,8.7
7/19/2018,8,41321,0.0001936062,11/29/2018,40900,0.989811476,155.0,121.0,11/29/2018,79110,0,3,-1,9.3
7/19/2018,7,41314,0.0001694341,11/30/2018,40850,0.98876894,154.0,112.5,11/30/2018,39930,0,1.7,-1.6,6.3
7/19/2018,6,41308,0.0001452503,12/1/2018,40920,0.990607146,157.5,120.0,,0,0,2,-0.7,7
7/19/2018,11,41297,0.0002663632,12/2/2018,41240,0.998619754,153.0,122.0,,0,0,3,-0.3,5.7
7/19/2018,10,41287,0.0002422070,12/3/2018,40980,0.992564245,162.5,118.5,12/3/2018,120810,0,6.2,3,11
7/19/2018,7,41280,0.0001695736,12/4/2018,40890,0.990552326,163.0,126.0,,0,0,3.7,-0.1,8
7/19/2018,6,41274,0.0001453700,12/5/2018,40380,0.978339875,152.5,127.0,12/5/2018,80550,6330,4,-1.2,12.7
7/19/2018,7,41267,0.0001696271,12/6/2018,40380,0.978505828,152.5,126.5,,0,0,7,2.7,9.6
7/19/2018,7,41260,0.0001696558,12/7/2018,40360,0.978187106,156.5,121.0,12/7/2018,79680,0,4.3,1.4,6.3
7/19/2018,7,41253,0.0001696846,12/8/2018,39540,0.958475747,158.5,123.0,,0,0,7.8,3.4,15.1
7/19/2018,8,41245,0.0001939629,12/9/2018,40370,0.978785307,163.0,127.0,,0,0,4.5,-0.4,8.3
7/19/2018,8,41237,0.0001940005,12/10/2018,40620,0.985037709,175.5,126.5,12/10/2018,120180,0,7.8,2.7,15.4
7/19/2018,6,41231,0.0001455216,12/11/2018,40520,0.982755694,171.5,125.0,,0,0,3.8,-1.7,12.6
7/19/2018,8,41223,0.0001940664,12/12/2018,40710,0.987555491,164.0,120.0,12/12/2018,80250,0,0.5,-4.5,9.4
7/19/2018,8,41215,0.0001941041,12/13/2018,40790,0.98968822,171.0,125.5,12/13/2018,80580,4630,1.1,-3.7,7.1
7/19/2018,6,41209,0.0001455993,12/14/2018,40770,0.989346987,161.5,118.0,,0,0,0.5,-4.2,8.3
7/19/2018,7,41202,0.0001698947,12/15/2018,40500,0.982961992,171.5,122.5,,0,0,-1.3,-4.7,6.1
7/19/2018,7,41195,0.0001699235,12/16/2018,40670,0.987255735,172.0,124.5,,0,0,-0.4,-3.5,2.2
7/19/2018,7,41188,0.0001699524,12/17/2018,40440,0.981839371,163.5,129.0,12/17/2018,120600,0,1.9,-0.6,7
7/19/2018,7,41181,0.0001699813,12/18/2018,40640,0.986862874,170.0,119.0,,0,0,-1.7,-3.3,0.4
7/19/2018,7,41174,0.0001700102,12/19/2018,40320,0.979258756,167.5,119.0,12/19/2018,80100,0,0.4,-2.7,3
7/19/2018,7,41167,0.0001700391,12/20/2018,39960,0.970680399,169.5,120.0,,0,0,3.1,1.5,6.2
7/19/2018,7,41160,0.0001700680,12/21/2018,40110,0.974489796,169.0,123.0,12/21/2018,79470,0,1.3,-0.8,3.4
7/19/2018,8,41152,0.0001944012,12/22/2018,41500,1.008456454,168.5,120.5,,0,0,3.4,-0.5,7.2
7/19/2018,8,41144,0.0001944390,12/23/2018,40190,0.976813144,170.0,124.5,,0,0,1.6,-2,3.6
7/19/2018,10,41134,0.0002431079,12/24/2018,40650,0.988233578,165.0,126.5,12/24/2018,119610,0,3.2,1.7,5.5
7/19/2018,7,41127,0.0001702045,12/25/2018,39330,0.956306076,168.0,120.0,,0,0,1.7,-0.2,4.7
7/19/2018,7,41120,0.0001702335,12/26/2018,40800,0.992217899,168.0,116.5,,0,0,0.5,-0.8,1.1
7/19/2018,8,41112,0.0001945904,12/27/2018,40590,0.987302977,169.0,113.0,12/27/2018,119550,0,0.8,-0.5,2.2
7/19/2018,9,41103,0.0002189621,12/28/2018,40230,0.978760674,164.0,116.0,12/28/2018,40110,0,0.8,-1.6,5.3
7/19/2018,7,41096,0.0001703329,12/29/2018,40290,0.980387386,165.0,119.5,,0,0,1.8,-3.5,11.3
7/19/2018,9,41087,0.0002190474,12/30/2018,40080,0.975491031,171.0,119.0,,0,0,3.1,-1.1,9
7/19/2018,7,41080,0.0001703992,12/31/2018,40200,0.978578384,163.5,115.5,12/31/2018,119580,0,2.1,-2.1,9.1
7/19/2018,8,41072,0.0001947799,1/1/2019,39930,0.972195169,164.5,118.0,,0,0,1.6,-0.7,3.5
7/19/2018,6,41066,0.0001461063,1/2/2019,40170,0.978181464,168.5,115.5,1/2/2019,79530,4650,1.6,-3.7,5.1
7/19/2018,7,41059,0.0001704864,1/3/2019,40110,0.976886919,163.5,115.0,,0,0,-0.5,-5.3,8.3
7/19/2018,7,41052,0.0001705154,1/4/2019,40830,0.994592224,169.5,116.0,1/4/2019,79620,0,-0.6,-4.7,6.4
7/19/2018,7,41045,0.0001705445,1/5/2019,39300,0.957485686,157.0,115.0,,0,0,-1.6,-6,5.6
7/19/2018,7,41038,0.0001705736,1/6/2019,40230,0.980310931,170.5,117.0,,0,0,1.3,-4.8,10.3
7/19/2018,9,41029,0.0002193570,1/7/2019,40290,0.98198835,167.0,123.0,1/7/2019,119280,0,0.7,-4,9.7
