Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp,AvgHum,MinHum,MaxHum
8/9/2020,8,42098,0.0001900328,9/24/2020,34260,0.813815383,129,102,9/24/2020,33360,0,19,14.2,25.8,85.8,59.4,98.7
8/9/2020,9,42089,0.0002138326,9/25/2020,35010,0.831808786,128,101,9/25/2020,34290,0,18.1,13.8,26.2,73.3,49,97.4
8/9/2020,4,42085,0.0000950457,9/26/2020,35880,0.852560295,130,113,9/26/2020,35040,0,15.7,9.9,23.6,55.1,27.7,79.6
8/9/2020,6,42079,0.0001425889,9/27/2020,36180,0.859811307,133,112,,0,0,13,9,18.3,66.7,47.3,86.3
8/9/2020,6,42073,0.0001426093,9/28/2020,37050,0.880612269,136,117,9/28/2020,71760,0,13.7,8.4,21.6,63.8,33.8,88.4
8/9/2020,7,42066,0.0001664052,9/29/2020,36630,0.870774497,135,110,9/29/2020,35910,0,14.5,6.7,22.8,73.6,42.8,95.5
8/9/2020,6,42060,0.0001426534,9/30/2020,37830,0.899429387,134,109,9/30/2020,37200,0,16.1,9.6,23.6,76.5,49.5,95.9
8/9/2020,6,42054,0.0001426737,10/1/2020,38100,0.905978028,138,93,10/1/2020,37320,0,17.1,12.5,23.9,81.5,56.7,98
8/9/2020,4,42050,0.0000951249,10/2/2020,37890,0.901070155,137,109,10/2/2020,37200,0,16.9,15,19,86.9,71.6,99.3
8/9/2020,7,42043,0.0001664962,10/3/2020,38080,0.905739362,142,105,10/3/2020,37440,0,17.7,10.8,22.8,75.9,50.6,93.3
8/9/2020,7,42036,0.0001665239,10/4/2020,38010,0.90422495,140,81,,0,0,14.5,7.9,22.6,78.5,46,97
8/9/2020,5,42031,0.0001189598,10/5/2020,37770,0.898622445,139,143,10/5/2020,74550,0,15.6,10.6,21.8,83.6,55.4,98.8
8/9/2020,6,42025,0.0001427722,10/6/2020,38550,0.917311124,138,101,10/6/2020,37800,5430,15.4,9.1,21.9,76.8,51.6,97.8
8/9/2020,8,42017,0.0001903991,10/7/2020,38430,0.914629793,137,102,10/7/2020,37680,0,16.2,10.5,23.4,74.3,44.4,97.7
8/9/2020,4,42013,0.0000952086,10/8/2020,38610,0.919001262,141,100,8/10/2020,37890,0,14.7,7.5,23,71.2,35.8,95.4
8/9/2020,6,42007,0.0001428333,10/9/2020,38820,0.924131692,139,100,9/10/2020,38160,0,15.1,8.5,22.7,78.4,53.8,97.6
8/9/2020,6,42001,0.0001428537,10/10/2020,37950,0.903549915,135,104,10/10/2020,37200,0,16.1,10.6,22.8,75.9,51,99.3
8/9/2020,4,41997,0.0000952449,10/11/2020,37040,0.88196776,136,106,,0,0,10.8,9,15.3,90.6,65,99
8/9/2020,7,41990,0.0001667064,10/12/2020,38460,0.915932365,137,101,10/12/2020,73890,0,11.2,6.4,17.9,64.2,30.6,94
8/9/2020,6,41984,0.0001429116,10/13/2020,38490,0.91677782,140,123,10/13/2020,37800,5310,10.1,3.9,18.4,53.6,34.8,90.4
8/9/2020,6,41978,0.0001429320,10/14/2020,38460,0.916194197,139,117,10/14/2020,37860,0,10.2,3.6,16.8,66.1,45.9,93.5
8/9/2020,4,41974,0.0000952971,10/15/2020,38670,0.921284605,145,124,10/15/2020,38130,0,10.1,9.2,10.8,96.6,82.9,99.3
8/9/2020,4,41970,0.0000953062,10/16/2020,39000,0.929235168,138,104,10/16/2020,38370,0,11.9,8.1,17,85.4,59.4,99.3
8/9/2020,6,41964,0.0001429797,10/17/2020,38640,0.920789248,136,113,10/17/2020,38100,0,10.5,6.1,19.3,85.2,58.9,99.3
8/9/2020,4,41960,0.0000953289,10/18/2020,38190,0.910152526,139,105,,0,0,10.8,4.7,19.2,86.2,59.1,99.3
8/9/2020,4,41956,0.0000953380,10/19/2020,38760,0.923824959,130,110,10/19/2020,75780,0,12,7.2,19.1,85.9,61.8,99.3
8/9/2020,4,41952,0.0000953471,10/20/2020,38850,0.926058352,135,115,10/20/2020,38190,0,12,6.4,18,81.9,53.4,99.3
8/9/2020,6,41946,0.0001430411,10/21/2020,37740,0.899728222,139,124,10/21/2020,37140,4290,12.4,8.4,20,84.8,59,99.3
8/9/2020,6,41940,0.0001430615,10/22/2020,37560,0.895565093,130,116,10/22/2020,36990,0,11.6,7.5,16.9,93,78.2,99.3
8/9/2020,6,41934,0.0001430820,10/23/2020,37050,0.883531263,142,118,10/23/2020,36540,0,12.5,9.4,13.9,97.9,93,99.3
8/9/2020,7,41927,0.0001669569,10/24/2020,37200,0.887256422,140,120,10/24/2020,36600,0,13.7,11.3,16.7,96.1,85.2,99.3
8/9/2020,5,41922,0.0001192691,10/25/2020,37560,0.895949621,145,124,,0,0,14.1,8.6,20.9,96.1,85.2,99.3
8/9/2020,5,41917,0.0001192833,10/26/2020,37830,0.902497793,135,122,10/26/2020,74280,0,14.5,13.3,16.1,96.1,85.2,99.3
8/9/2020,4,41913,0.0000954358,10/27/2020,37680,0.899005082,139,120,10/27/2020,37080,0,12.4,7,17.1,96.1,85.2,99.3
8/9/2020,6,41907,0.0001431742,10/28/2020,37470,0.8941227,142,118,10/28/2020,36900,0,10.7,5.9,18.2,86.5,55,99.3
8/9/2020,7,41900,0.0001670644,10/29/2020,37770,0.901431981,138,124,10/29/2020,37170,4140,11.5,7.8,18.5,86.5,55,99.3
8/9/2020,5,41895,0.0001193460,10/30/2020,38850,0.927318296,145,118,10/30/2020,38100,0,11.3,6.1,19.5,86.5,55,99.3
8/9/2020,4,41891,0.0000954859,10/31/2020,38640,0.922393832,140,117,10/31/2020,37980,0,10.9,6.2,17.2,88.6,54.3,99.4
8/9/2020,4,41887,0.0000954950,11/1/2020,38310,0.914603576,139,122,,0,0,12.4,10.6,15.5,93.5,75.7,99.4
8/9/2020,4,41883,0.0000955041,11/2/2020,38990,0.930926629,145,123,11/2/2020,76050,0,12.1,10.8,13.3,99.2,97.8,99.4
8/9/2020,5,41878,0.0001193944,11/3/2020,38730,0.924829266,135,119,11/3/2020,38190,0,14,12.6,16.9,93.5,79.2,99.4
8/9/2020,5,41873,0.0001194087,11/4/2020,39000,0.931387768,145,127,11/4/2020,38430,0,14.4,10.2,18.5,94.4,83.5,99.3
8/9/2020,5,41868,0.0001194229,11/5/2020,39750,0.949412439,138,122,11/5/2020,39180,4320,14,9.3,18.6,89.5,61.3,99.3
8/9/2020,7,41861,0.0001672201,11/6/2020,40560,0.968920953,140,117,11/6/2020,39900,0,12.2,7.7,19.3,82.1,52,99.3
8/9/2020,6,41855,0.0001433520,11/7/2020,40200,0.960458727,139,118,11/7/2020,39690,0,11.6,7,19.7,83.6,51.8,99.4
8/9/2020,6,41849,0.0001433726,11/8/2020,40380,0.964897608,145,130,,0,0,10.3,7.4,17.6,88.3,56.3,99.4
8/9/2020,4,41845,0.0000955909,11/9/2020,41590,0.993906082,138,124,11/9/2020,81000,0,11.2,6.3,19.2,86.7,51.6,99.4
8/9/2020,7,41838,0.0001673120,11/10/2020,39570,0.945790908,135,119,11/10/2020,39150,0,10.4,4.7,18.2,87.1,58,99.4
8/9/2020,7,41831,0.0001673400,11/11/2020,40500,0.968181492,144,118,11/11/2020,39990,0,9.8,6,14.4,86,60.8,99.4
8/9/2020,6,41825,0.0001434549,11/12/2020,40470,0.967603108,139,124,11/12/2020,40080,0,9.1,5.8,14.4,87.8,65.4,99.3
8/9/2020,4,41821,0.0000956457,11/13/2020,40680,0.972717056,138,129,11/13/2020,40230,0,10.7,8,13.6,88.4,71.5,99.3
