Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp,AvgHum,MinHum,MaxHum
6/20/2022,16,41105,0.0003892471,8/8/2022,4320,0.105096704,131,82,8/8/2022,,,25.6,20.3,31.8,62,42.3,85.5
6/20/2022,8,41101,0.0001946425,8/9/2022,2560,0.062285589,135,81,8/9/2022,,,26.2,19.9,31.8,45.8,37.7,63.2
6/20/2022,8,41097,0.0001946614,8/10/2022,1260,0.030659172,128,88,8/10/2022,,,25.5,19.4,31.9,40,28.2,63.2
6/20/2022,8,41093,0.0001946804,8/11/2022,3840,0.093446572,130,88,8/11/2022,,,25.8,18.7,32,41,24.4,68.5
6/20/2022,9,41088,0.0002190421,8/12/2022,2370,0.057681075,136,90,8/12/2022,5580,,22.2,17.1,29,63.7,34.4,88.8
6/20/2022,7,41085,0.0001703785,8/13/2022,1230,0.029937934,133,92,8/13/2022,,,23.5,16.2,30.2,48.6,27.1,78.2
6/20/2022,17,41072,0.0004139073,8/14/2022,1260,0.030677834,140,93,8/14/2022,,,25.2,15.8,33.2,45.9,23.2,77.8
6/20/2022,11,41065,0.0002678680,8/15/2022,3180,0.077438208,135,83,8/15/2022,,,25.9,19.8,32.8,50.4,33.6,83.3
6/20/2022,14,41055,0.0003410060,8/16/2022,2370,0.057727439,130,89,8/16/2022,,,24.7,17.1,31.8,60,40.6,89.6
6/20/2022,9,41050,0.0002192448,8/17/2022,3840,0.093544458,128,85,8/17/2022,6480,,24.8,18.5,31.6,63.5,38.5,85.1
6/20/2022,10,41044,0.0002436410,8/18/2022,3150,0.076746906,129,90,8/18/2022,,,21.1,19.1,24.7,83.8,64.2,97.1
6/20/2022,7,41041,0.0001705611,8/19/2022,5220,0.127189883,133,88,8/19/2022,,,20.9,17.8,26.1,88.4,65.2,99.3
6/20/2022,10,41035,0.0002436944,8/20/2022,3150,0.076763738,135,89,8/20/2022,,,24.9,18.1,32.8,59.4,32.8,85.8
