Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp,AvgHum,MinHum,MaxHum
6/20/2022,16,41105,0.0003572944,8/8/2022,4320,0.105096704,131,82,8/8/2022,,,25.6,20.3,31.8,62,42.3,85.5
6/20/2022,8,41097,0.0001786432,8/9/2022,2560,0.062291651,135,81,8/9/2022,,,26.2,19.9,31.8,45.8,37.7,63.2
6/20/2022,8,41089,0.0001786392,8/10/2022,1260,0.030665142,128,88,8/10/2022,,,25.5,19.4,31.9,40,28.2,63.2
6/20/2022,8,41081,0.0001786352,8/11/2022,3840,0.093473869,130,88,8/11/2022,,,25.8,18.7,32,41,24.4,68.5
6/20/2022,9,41072,0.0002009601,8/12/2022,2370,0.057703545,136,90,8/12/2022,5580,,22.2,17.1,29,63.7,34.4,88.8
6/20/2022,7,41065,0.0001562988,8/13/2022,1230,0.029952514,133,92,8/13/2022,,,23.5,16.2,30.2,48.6,27.1,78.2
6/20/2022,17,41048,0.0003795744,8/14/2022,1260,0.030695771,140,93,8/14/2022,,,25.2,15.8,33.2,45.9,23.2,77.8
6/20/2022,11,41037,0.0002456015,8/15/2022,3180,0.077491045,135,83,8/15/2022,,,25.9,19.8,32.8,50.4,33.6,83.3
6/20/2022,14,41023,0.0003125767,8/16/2022,2370,0.057772469,130,89,8/16/2022,,,24.7,17.1,31.8,60,40.6,89.6
6/20/2022,9,41014,0.0002009377,8/17/2022,3840,0.093626567,128,85,8/17/2022,6480,,24.8,18.5,31.6,63.5,38.5,85.1
6/20/2022,10,41004,0.0002232591,8/18/2022,3150,0.076821773,129,90,8/18/2022,,,21.1,19.1,24.7,83.8,64.2,97.1
6/20/2022,7,40997,0.0001562779,8/19/2022,5220,0.12732639,133,88,8/19/2022,,,20.9,17.8,26.1,88.4,65.2,99.3
6/20/2022,10,40987,0.0002232492,8/20/2022,3150,0.076853637,135,89,8/20/2022,,,24.9,18.1,32.8,59.4,32.8,85.8
6/20/2022,8,40979,0.0001785953,8/21/2022,3330,0.081261134,130,86,8/21/2022,,,25,17.5,32.7,51.1,31.5,85.6
6/20/2022,6,40973,0.0001339435,8/22/2022,4920,0.120079076,129,87,8/22/2022,,,25.5,18.4,32.6,48.5,28.5,81.4
6/20/2022,5,40968,0.0001116171,8/23/2022,7650,0.186731107,127,89,8/23/2022,17280,,23.7,15.9,31.3,53.4,33.8,74.1
6/20/2022,6,40962,0.0001339375,8/24/2022,4920,0.120111323,135,90,8/24/2022,,,23.8,16.1,31.1,59.3,39.2,87.8
6/20/2022,5,40957,0.0001116121,8/25/2022,5250,0.128183217,128,100,8/25/2022,,,25.5,17.8,32.9,57.9,37.9,83.6
6/20/2022,8,40949,0.0001785754,8/26/2022,5520,0.134801827,130,89,8/26/2022,,,26.7,20.7,33,60.5,41.9,82.6
6/20/2022,11,40938,0.0002455357,8/27/2022,6390,0.156089697,126,88,8/27/2022,,,20.4,17.6,22.9,82.4,64.4,96.9
6/20/2022,11,40927,0.0002455302,8/28/2022,7140,0.17445696,135,89,8/28/2022,,,23.2,16.9,30.4,70.5,45.6,94.6
6/20/2022,8,40919,0.0001785635,8/29/2022,3660,0.089445001,127,90,8/29/2022,34560,,24.6,18,31.6,66.9,49,90.4
6/20/2022,9,40910,0.0002008794,8/30/2022,4500,0.109997556,128,88,8/30/2022,,,24.4,18.9,30.8,68,49.3,91.1
6/20/2022,9,40901,0.0002008749,8/31/2022,8580,0.209774822,130,89,8/31/2022,,,23.4,19.4,28.7,71.6,56.6,90.3
6/20/2022,9,40892,0.0002008704,9/1/2022,9060,0.221559229,125,91,9/1/2022,24690,,22.6,18.7,28.4,64.8,45.4,87.7
6/20/2022,7,40885,0.0001562291,9/2/2022,10650,0.260486731,135,90,9/2/2022,,,21.9,16.8,28.9,54.8,36.3,76.3
6/20/2022,8,40877,0.0001785435,9/3/2022,10710,0.262005529,132,100,9/3/2022,,,21.8,15.8,27.8,61.5,42.8,79.5
6/20/2022,7,40870,0.0001562221,9/4/2022,12180,0.298018106,138,89,9/4/2022,,,23,16.4,30.7,69.3,48.3,89.6
6/20/2022,7,40863,0.0001562186,9/5/2022,13140,0.321562294,130,89,9/5/2022,,,23.8,17.3,31.5,64.6,45.4,86.7
6/20/2022,10,40853,0.0002231645,9/6/2022,13500,0.330453088,135,112,9/6/2022,58230,,24.6,17.5,33.1,62.1,41.7,86.9
6/20/2022,8,40845,0.0001785276,9/7/2022,15330,0.375321337,138,89,9/7/2022,,,24.7,19.4,30.7,65.2,51.4,76.2
6/20/2022,9,40836,0.0002008391,9/8/2022,15780,0.386423744,140,121,9/8/2022,29940,4200,23.4,18.4,30.6,68.4,49.9,84.7
6/20/2022,7,40829,0.0001562047,9/9/2022,17190,0.421024272,145,106,9/9/2022,,,21.9,17.5,28.4,72.5,44.5,94.1
6/20/2022,7,40822,0.0001562012,9/10/2022,17610,0.431385037,155,106,9/10/2022,,,20.9,15.4,29,67.3,43,91.8
6/20/2022,8,40814,0.0001785117,9/11/2022,18000,0.441025138,150,105,9/11/2022,,,21.3,15.7,28.6,66.7,38.9,90.6
6/20/2022,20,40794,0.0004462692,9/12/2022,19590,0.480217679,155,97,9/12/2022,,,20.8,14.1,28.4,63.5,44.8,83.4
6/20/2022,20,40774,0.0004462592,9/13/2022,22170,0.543728847,140,101,9/13/2022,91020,,21.8,15.2,30,68,45.4,89.7
6/20/2022,23,40751,0.0005131867,9/14/2022,21690,0.532256877,155,96,9/14/2022,,,22.7,17.4,30.1,76.1,49.1,92
6/20/2022,22,40729,0.0004908632,9/15/2022,22050,0.54138329,160,107,9/15/2022,42090,,22.3,17.1,31.5,73.9,46.5,95.9
6/20/2022,20,40709,0.0004462294,9/16/2022,22890,0.562283525,150,103,9/16/2022,,,23.2,16.1,31.4,69.6,45.6,93.2
6/20/2022,23,40686,0.0005131523,9/17/2022,23940,0.588408789,155,117,9/17/2022,,,15.5,10.6,19.8,77.1,62.7,90.4
6/20/2022,24,40662,0.0005354513,9/18/2022,23490,0.577689243,140,119,9/18/2022,,,16.6,9.9,25.6,54,25.2,93.2
6/20/2022,19,40643,0.0004238895,9/19/2022,24690,0.607484684,153,117,9/19/2022,91470,6480,17.1,9.1,26.3,52.8,25.3,80.7
6/20/2022,18,40625,0.0004015706,9/20/2022,24740,0.608984615,155,108,9/20/2022,24600,,16.3,9.6,24.2,54.3,32.5,71.1
6/20/2022,21,40604,0.0004684886,9/21/2022,25980,0.63983844,148,108,9/21/2022,,,15.7,9.5,22.5,52.9,33.5,73.5
6/20/2022,22,40582,0.0004907866,9/22/2022,26580,0.654970184,150,131,9/22/2022,50580,,14.6,8.4,23.8,57.3,34.2,77.7
6/20/2022,22,40560,0.0004907756,9/23/2022,27090,0.667899408,160,120,9/23/2022,,,15.1,7,23.3,59.1,33.2,87.5
6/20/2022,23,40537,0.0005130722,9/24/2022,27660,0.682339591,165,117,9/24/2022,,,15.4,12.2,18.7,72.3,62.4,93.2
6/20/2022,21,40516,0.0004684468,9/25/2022,28770,0.710089841,,,9/25/2022,,,16.7,13.6,21,81.6,60,95.4
6/20/2022,23,40493,0.0005130493,9/26/2022,27300,0.674190601,,,9/26/2022,,,16.7,11,24.4,70.3,42,95.4
6/20/2022,20,40473,0.0004461199,9/27/2022,30750,0.75976577,,,9/27/2022,136920,6480,17.3,12.7,24.2,78.8,52.5,97.4
6/20/2022,23,40450,0.0005130264,9/28/2022,29310,0.724598269,,,9/28/2022,28410,,15.6,10.5,22.4,74.3,50.6,92.3
6/20/2022,20,40430,0.0004461000,9/29/2022,29580,0.731634925,,,9/29/2022,28830,,16,10.4,24.4,82.9,60.1,94.8
