Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp,AvgHum,MinHum,MaxHum
1/20/2014,4,33743,0.000118543,3/18/2014,27030,0.801055034,,,,,,10.9,4.7,17.7,91.5,69.2,99.9
1/20/2014,5,33738,0.000148201,3/19/2014,32700,0.969233505,,,,,,13.7,8.3,21.4,77.5,54.9,99.9
1/20/2014,3,33735,8.89284E-05,3/20/2014,30270,0.897287683,,,,,,12.5,7,20.2,79.9,46.1,99.9
1/20/2014,4,33731,0.000118585,3/21/2014,30350,0.899765794,,,,,,12.8,6.2,21.4,72.4,43,99.9
1/20/2014,5,33726,0.000148254,3/22/2014,30000,0.889521437,,,,,,13.2,10.4,18.3,86.5,57.6,99.9
1/20/2014,4,33722,0.000118617,3/23/2014,30570,0.906529862,,,,,,11.7,7.6,17.4,90,55.4,99.9
1/20/2014,3,33719,8.89706E-05,3/24/2014,29850,0.88525757,,,,,,9,5.9,16,66.5,39.5,88.2
1/20/2014,5,33714,0.000148306,3/25/2014,30330,0.899626268,,,,,,7.6,1.5,12.6,63.6,47,92.5
1/20/2014,3,33711,8.89917E-05,3/26/2014,29850,0.885467652,,,,,,9.6,4.9,14,56.4,39.2,83.3
1/20/2014,3,33708,8.89996E-05,3/27/2014,30090,0.892666429,,,,,,11.8,6.6,16.4,49.4,35.4,72.7
1/20/2014,3,33705,8.90076E-05,3/28/2014,30910,0.917074618,,,,,,13.2,6.7,20.8,53.7,30.2,79.1
1/20/2014,4,33701,0.000118691,3/29/2014,30820,0.914512922,,,,,,13.4,6.2,21.9,57.5,30.9,84.9
1/20/2014,3,33698,8.90261E-05,3/30/2014,30180,0.895602113,,,,,,13.6,6.2,22.3,60.2,33.2,88.5
1/20/2014,4,33694,0.000118716,3/31/2014,29960,0.889179082,,,,,,14.3,4.8,22.8,60.2,31.7,96
1/20/2014,3,33691,8.90446E-05,04/01/2014,30060,0.892226411,,,,,,14.7,8.4,21.7,55.8,40.3,77.7
1/20/2014,4,33687,0.00011874,04/02/2014,28720,0.852554398,,,,,,14.4,8,20.8,66.3,47.2,82.7
1/20/2014,3,33684,8.90631E-05,04/03/2014,29940,0.888849305,,,,,,13,8.1,17.7,81.7,62.2,99.9
1/20/2014,4,33680,0.000118765,04/04/2014,27480,0.815914489,,,,,,14.1,11.3,16.8,72.5,49.6,99.9
1/20/2014,3,33677,8.90816E-05,04/05/2014,32490,0.964753393,,,,,,14.2,10.4,18.8,81,63.4,98.2
1/20/2014,4,33673,0.00011879,04/06/2014,27510,0.816975025,,,,,,16,8.9,24.5,68.1,40.6,99.9
