Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp
5/26/2014,2,23902,0.0000836750,7/14/2014,17640,0.738013555,,,,,,20.9,17.1,26.5
5/26/2014,4,23898,0.0001673780,7/15/2014,21090,0.882500628,,,,,,24,16.3,31.4
5/26/2014,2,23896,0.0000836960,7/16/2014,21800,0.912286575,,,,,,25.4,17.6,33.2
5/26/2014,4,23892,0.0001674201,7/17/2014,22029,0.922024108,,,,,,26.5,19.4,33.3
5/26/2014,4,23888,0.0001674481,7/18/2014,21880,0.915941058,,,,,,25.2,18.4,32.5
5/26/2014,2,23886,0.0000837311,7/19/2014,20820,0.871640291,,,,,,26.8,19.5,33.8
5/26/2014,2,23884,0.0000837381,7/20/2014,23400,0.979735388,,,,,,25.6,20.3,32.4
5/26/2014,4,23880,0.0001675042,7/21/2014,21870,0.915829146,,,,,,19.8,17,22.3
5/26/2014,2,23878,0.0000837591,7/22/2014,21720,0.909623922,,,,,,22.7,16.2,28.6
5/26/2014,4,23874,0.0001675463,7/23/2014,23010,0.963810003,,,,,,24.1,18.9,30.9
5/26/2014,2,23872,0.0000837802,7/24/2014,22320,0.934986595,,,,,,20.9,18.1,24.4
5/26/2014,2,23870,0.0000837872,7/25/2014,23040,0.96522832,,,,,,23.1,16.9,29.1
5/26/2014,6,23864,0.0002514247,7/26/2014,23280,0.975527992,,,,,,19.8,17.7,24.4
5/26/2014,2,23862,0.0000838153,7/27/2014,22680,0.950465175,,,,,,22.3,17.4,28.2
5/26/2014,2,23860,0.0000838223,7/28/2014,22920,0.960603521,,,,,,24.1,18.2,31.3
5/26/2014,2,23858,0.0000838293,7/29/2014,23520,0.985832844,,,,,,20.7,18.2,24.1
5/26/2014,4,23854,0.0001676868,7/30/2014,22600,0.9474302,,,,,,19.8,17.3,23.1
5/26/2014,2,23852,0.0000838504,7/31/2014,23070,0.967214489,,,,,,22.8,17.6,28.4
5/26/2014,4,23848,0.0001677290,8/1/2014,23160,0.971150621,,,,,,24.9,19,31.2
5/26/2014,2,23846,0.0000838715,8/2/2014,22950,0.962425564,,,,,,24.9,19.9,31.1
5/26/2014,2,23844,0.0000838785,8/3/2014,22620,0.948666331,,,,,,22.5,18.3,28.3
5/26/2014,2,23842,0.0000838856,8/4/2014,22950,0.962587031,,,,,,23.6,17.4,29.9
5/26/2014,4,23838,0.0001677993,8/5/2014,23700,0.994210924,,,,,,23.1,18.3,30.1
5/26/2014,2,23836,0.0000839067,8/6/2014,22920,0.961570733,,,,,,23.5,16.2,30.6
5/26/2014,2,23834,0.0000839137,8/7/2014,23220,0.974238483,,,,,,23.5,16.7,31.3
5/26/2014,4,23830,0.0001678556,8/8/2014,23180,0.972723458,,,,,,24.5,17.4,31.7
5/26/2014,2,23828,0.0000839349,8/9/2014,23260,0.976162498,,,,,,24.4,19.4,29.1
5/26/2014,4,23824,0.0001678979,8/10/2014,22890,0.960795836,,,,,,25.6,19.6,32.6
5/26/2014,2,23822,0.0000839560,8/11/2014,23100,0.969691881,,,,,,26.1,20.4,32.1
5/26/2014,6,23816,0.0002519315,8/12/2014,23340,0.980013436,,,,,,26.4,20.6,33
5/26/2014,2,23814,0.0000839842,8/13/2014,23040,0.96749811,,,,,,22.1,18.8,25.6
5/26/2014,2,23812,0.0000839913,8/14/2014,23190,0.973878717,,,,,,22,18,27.9
5/26/2014,3,23809,0.0001260028,8/15/2014,21600,0.907219959,,,,,,20,15.2,25.8
5/26/2014,2,23807,0.0000840089,8/16/2014,23600,0.991305078,,,,,,18.3,14.2,24.5
5/26/2014,2,23805,0.0000840160,8/17/2014,23420,0.983826927,,,,,,19.8,12.9,26.7
5/26/2014,2,23803,0.0000840230,8/18/2014,23510,0.987690627,,,,,,20.6,13.2,28
5/26/2014,3,23800,0.0001260504,8/19/2014,23360,0.981512605,,,,,,17.7,15,19.3
