Arrival Chickens Date,Death,Chickens,DeathPerc,Date of Laid,Eggs,Laied,Water,Feed,Date of Selling,# Eggs sold (First quality),# Eggs sold (Second quality),AvgTemp,MinTemp,MaxTemp,AvgHum,MinHum,MaxHum
11/17/2016,6,42130,0.0001424163,1/8/2017,30080,0.713980536,,,,0,0,-3.9,-8.5,2.9,66.4,44.9,80.9
11/17/2016,9,42121,0.0002136701,1/9/2017,31710,0.752831129,,,,63960,0,-3.4,-7.5,2.5,66.6,46.5,80.7
11/17/2016,13,42108,0.0003087299,1/10/2017,33800,0.802697825,,,,42530,0,-1.2,-7.5,1.5,72.3,57.3,87.5
11/17/2016,10,42098,0.0002375410,1/11/2017,34330,0.81547817,,,,32220,0,-0.8,-3.9,4,51.7,34.6,65.8
11/17/2016,12,42086,0.0002851304,1/12/2017,34050,0.809057644,,,,32400,0,-0.2,-2,1.1,69.2,51.6,99.9
11/17/2016,9,42077,0.0002138936,1/13/2017,37110,0.881954512,,,,32400,0,0.5,-1.6,3.4,94.1,74,99.9
11/17/2016,13,42064,0.0003090529,1/14/2017,37050,0.880800685,,,,32400,0,0.6,-4,7.3,69,31.4,99.9
11/17/2016,11,42053,0.0002615747,1/15/2017,36550,0.869141322,,,,0,0,1.2,-4,9.6,60.9,21.2,89.9
11/17/2016,7,42046,0.0001664843,1/16/2017,37290,0.886885792,,,,75600,9830,-0.8,-5.1,6,38.1,19.3,63.3
11/17/2016,9,42037,0.0002140971,1/17/2017,37980,0.903489783,,,,32400,0,1.8,-1.7,7.1,28.6,18.5,53.4
11/17/2016,10,42027,0.0002379423,1/18/2017,36700,0.87324815,,,,32400,0,1.6,-3.2,8.7,52.4,26.2,66.6
11/17/2016,8,42019,0.0001903901,1/19/2017,38970,0.927437588,,,,43200,0,1.6,-3,8.1,59.3,32.2,76.5
11/17/2016,8,42011,0.0001904263,1/20/2017,38890,0.925709933,,,,32400,0,-0.4,-5,8,62.8,30.5,84.9
11/17/2016,9,42002,0.0002142755,1/21/2017,37120,0.88376744,,,,43200,0,-0.9,-6.3,9.1,66.8,33.8,83.6
