Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consuption (gr);Feed Consuption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
09/08/2020;1;42215;04/09/2020;1470;3.48%;110.0;81.0;04/09/2020;1470;0
09/08/2020;0;42215;05/09/2020;0;0.00%;109.0;90.0;;0;0
09/08/2020;0;42215;06/09/2020;0;0.00%;111.0;86.0;;0;0
09/08/2020;2;42213;07/09/2020;0;0.00%;109.0;94.0;;0;0
09/08/2020;0;42213;08/09/2020;0;0.00%;105.0;94.0;;0;0
09/08/2020;1;42212;09/09/2020;31140;73.77%;112.0;90.0;;0;0
09/08/2020;3;42209;10/09/2020;0;0.00%;106.0;83.0;10/09/2020;31140;0
09/08/2020;0;42209;11/09/2020;24600;58.28%;111.0;91.0;;0;0
09/08/2020;1;42208;12/09/2020;0;0.00%;107.0;85.0;;0;0
09/08/2020;0;42208;13/09/2020;31260;74.06%;109.0;97.0;;0;0
09/08/2020;2;42206;14/09/2020;0;0.00%;110.0;87.0;;0;0
09/08/2020;2;42204;15/09/2020;42150;99.87%;113.0;97.0;;0;0
09/08/2020;8;42196;16/09/2020;23670;56.10%;117.0;90.0;16/09/2020;120420;0
09/08/2020;6;42190;17/09/2020;25920;61.44%;118.0;99.0;17/09/2020;25050;0
09/08/2020;2;42188;18/09/2020;27450;65.07%;113.0;94.0;18/09/2020;26610;0
09/08/2020;0;42188;19/09/2020;29250;69.33%;115.0;140.0;;0;0
09/08/2020;1;42187;20/09/2020;30630;72.61%;120.0;102.0;;0;0
09/08/2020;1;42186;21/09/2020;31950;75.74%;122.0;105.0;21/09/2020;57840;4560
09/08/2020;1;42185;22/09/2020;32610;77.30%;124.0;98.0;22/09/2020;31710;0
09/08/2020;3;42182;23/09/2020;33810;80.15%;126.0;113.0;23/09/2020;32970;0
09/08/2020;4;42178;24/09/2020;34260;81.23%;129.0;102.0;24/09/2020;33360;0
09/08/2020;5;42173;25/09/2020;35010;83.02%;128.0;101.0;25/09/2020;34290;0
09/08/2020;0;42173;26/09/2020;35880;85.08%;130.0;113.0;26/09/2020;35040;0
09/08/2020;2;42171;27/09/2020;36180;85.79%;133.0;112.0;;0;0
09/08/2020;2;42169;28/09/2020;37050;87.86%;136.0;117.0;28/09/2020;71760;0
09/08/2020;3;42166;29/09/2020;36630;86.87%;135.0;110.0;29/09/2020;35910;0
09/08/2020;2;42164;30/09/2020;37830;89.72%;134.0;109.0;30/09/2020;37200;0
09/08/2020;2;42162;01/10/2020;38100;90.37%;138.0;93.0;01/10/2020;37320;0
09/08/2020;0;42162;02/10/2020;37890;89.87%;137.0;109.0;02/10/2020;37200;0
09/08/2020;3;42159;03/10/2020;38080;90.32%;142.0;105.0;03/10/2020;37440;0
09/08/2020;3;42156;04/10/2020;38010;90.17%;140.0;81.0;;0;0
09/08/2020;1;42155;05/10/2020;37770;89.60%;139.0;143.0;05/10/2020;74550;0
09/08/2020;2;42153;06/10/2020;38550;91.45%;138.0;101.0;06/10/2020;37800;5430
09/08/2020;4;42149;07/10/2020;38430;91.18%;137.0;102.0;07/10/2020;37680;0
09/08/2020;0;42149;10/08/2020;38610;91.60%;141.0;100.0;10/08/2020;37890;0
09/08/2020;2;42147;10/09/2020;38820;92.11%;139.0;100.0;10/09/2020;38160;0
09/08/2020;2;42145;10/10/2020;37950;90.05%;135.0;104.0;10/10/2020;37200;0
09/08/2020;0;42145;11/10/2020;37040;87.89%;136.0;106.0;;0;0
09/08/2020;3;42142;12/10/2020;38460;91.26%;137.0;101.0;12/10/2020;73890;0
09/08/2020;2;42140;13/10/2020;38490;91.34%;140.0;123.0;13/10/2020;37800;5310
09/08/2020;2;42138;14/10/2020;38460;91.27%;139.0;117.0;14/10/2020;37860;0
09/08/2020;0;42138;15/10/2020;38670;91.77%;145.0;124.0;15/10/2020;38130;0
09/08/2020;0;42138;16/10/2020;39000;92.55%;138.0;104.0;16/10/2020;38370;0
09/08/2020;2;42136;17/10/2020;38640;91.70%;136.0;113.0;17/10/2020;38100;0
09/08/2020;0;42136;18/10/2020;38190;90.64%;139.0;105.0;;0;0
