Prodotto;Unit;Mese;SettimanaPerMese;PrezzoMedio;Piazza/Comune;Varieta;Anno
Uova Bio;euro/100 unit;gen;I;16.34;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;gen;II;16.34;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;gen;III;16.34;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;gen;IV;16.34;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;feb;I;16.43;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;feb;II;16.43;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;feb;III;16.43;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;feb;IV;16.43;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mar;I;17.14;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mar;II;17.14;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mar;III;17.14;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mar;IV;17.14;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mar;V;17.14;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;apr;I;17.20;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;apr;II;17.20;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;apr;III;17.20;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;apr;IV;17.20;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mag;I;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mag;II;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mag;III;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;mag;IV;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;giu;I;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;giu;II;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;giu;III;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;giu;IV;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;giu;V;17.23;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;lug;I;17.25;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;lug;II;17.25;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;lug;III;17.25;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;lug;IV;17.25;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ago;I;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ago;II;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ago;III;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ago;IV;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;set;I;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;set;II;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;set;III;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;set;IV;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;set;V;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ott;I;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ott;II;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ott;III;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;ott;IV;17.29;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;nov;I;17.49;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;nov;II;17.49;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;nov;III;17.49;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;nov;IV;17.49;FORLI';M (Tra 53 E 63 Gr);2022
Uova Bio;euro/100 unit;gen;I;15.7;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;gen;II;15.7;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;gen;III;15.7;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;gen;IV;15.7;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;feb;I;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;feb;II;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;feb;III;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;feb;IV;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mar;I;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mar;II;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mar;III;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mar;IV;15.88;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;apr;I;16.13;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;apr;II;16.13;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;apr;III;16.13;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;apr;IV;16.13;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;apr;V;16.13;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mag;I;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mag;II;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mag;III;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;mag;IV;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;giu;I;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;giu;II;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;giu;III;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;giu;IV;16.16;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;lug;I;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;lug;II;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;lug;III;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;lug;IV;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;lug;V;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ago;I;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ago;II;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ago;III;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ago;IV;16.18;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;set;I;18.03;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;set;II;18.03;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;set;III;18.03;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;set;IV;18.03;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;set;V;18.03;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ott;I;16.26;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ott;II;16.26;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ott;III;16.26;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;ott;IV;16.26;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;nov;I;16.27;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;nov;II;16.27;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;nov;III;16.27;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;nov;IV;16.27;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;dic;I;16.3;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;dic;II;16.3;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;dic;III;16.3;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;dic;IV;16.3;FORLI';M (Tra 53 E 63 Gr);2021
Uova Bio;euro/100 unit;dic;V;16.3;FORLI';M (Tra 53 E 63 Gr);2021
