Prodotto;Unit;Mese;SettimanaPerMese;PrezzoMedio;Piazza/Comune;Varieta;Anno
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;gen;I;15.23;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;gen;II;15.23;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;gen;III;15.23;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;gen;IV;15.28;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;feb;I;15.28;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;feb;II;15.33;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;feb;III;15.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;feb;IV;15.68;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mar;I;15.93;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mar;II;16.28;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mar;III;16.60;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mar;IV;16.85;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mar;V;16.85;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;apr;I;16.85;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;apr;II;16.75;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;apr;III;16.75;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;apr;IV;16.75;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mag;I;16.49;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mag;II;16.54;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mag;III;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;mag;IV;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;giu;I;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;giu;II;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;giu;III;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;giu;IV;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;giu;V;16.53;FORLI';L (Tra 63 E 73 Gr);2022
Uova Di Gallina Da Consumo-Allevamento A Terra;euro/100 unit;lug;I;16.53;FORLI';L (Tra 63 E 73 Gr);2022
