Year,Month,Day,Price
2022,1,1,15.25
2022,2,1,15.35
2022,3,1,15.45
2022,4,1,15.5
2022,5,1,15.5
2022,6,1,15.5
2022,7,1,15.55
2022,8,1,15.58
2022,9,1,15.58
2022,10,1,15.58
2022,11,1,15.58
2022,12,1,15.58
2021,1,1,15.1
2021,2,1,15.15
2021,3,1,15.15
2021,4,1,15.15
2021,5,1,15.15
2021,6,1,15.15
2021,7,1,15.15
2021,8,1,15.15
2021,9,1,15.15
2021,10,1,15.15
2021,11,1,15.15
2021,12,1,15.25
2020,1,1,14.68
2020,2,1,14.88
2020,3,1,15.28
2020,4,1,15.03
2020,5,1,14.75
2020,6,1,15.1
2020,7,1,15.1
2020,8,1,15.1
2020,9,1,15.1
2020,10,1,15.1
2020,11,1,15.1
2020,12,1,15.1
2019,1,1,14
2019,2,1,14
2019,3,1,14
2019,4,1,14
2019,5,1,14
2019,6,1,14
2019,7,1,14
2019,8,1,14
2019,9,1,14
2019,10,1,14
2019,11,1,14
2019,12,1,14.2
2018,1,1,14
2018,2,1,14
2018,3,1,14
2018,4,1,14
2018,5,1,14
2018,6,1,14
2018,7,1,14
2018,8,1,14
2018,9,1,14
2018,10,1,14
2018,11,1,14
2018,12,1,14
