Non-Organic,Organic,Date
13.56,14.68,01/01/2020
13.75,14.88,01/02/2020
14.18,15.28,01/03/2020
15.06,15.03,01/04/2020
14.43,14.75,01/05/2020
13.73,15.10,01/06/2020
13.50,15.10,01/07/2020
13.50,15.10,01/08/2020
13.70,15.10,01/09/2020
13.90,15.10,01/10/2020
13.98,15.10,01/11/2020
14.00,15.10,01/12/2020
13.55,15.10,01/01/2021
13.63,15.15,01/02/2021
13.73,15.15,01/03/2021
13.48,15.15,01/04/2021
13.00,15.15,01/05/2021
13.00,15.15,01/06/2021
12.88,15.15,01/07/2021
12.80,15.15,01/08/2021
13.16,15.15,01/09/2021
13.30,15.15,01/10/2021
13.43,15.15,01/11/2021
14.32,15.25,01/12/2021
14.70,15.25,01/01/2022
14.83,15.35,01/02/2022
15.96,15.45,01/03/2022
16.25,15.50,01/04/2022
16.20,15.50,01/05/2022
16.20,15.50,01/06/2022
16.20,15.55,01/07/2022
16.20,15.58,01/08/2022
16.88,15.58,01/09/2022
17.80,15.58,01/10/2022
18.28,15.63,01/11/2022
