Year,Month,Day,Price
2017,1,1,10.2
2017,2,1,10.5
2017,3,1,10.95
2017,4,1,11
2017,5,1,10.6
2017,6,1,11.4
2017,7,1,11.66
2017,8,1,13.2
2017,9,1,14.23
2017,10,1,16.26
2017,11,1,16.9
2017,12,1,16.9
2016,1,1,10.9
2016,2,1,10.8
2016,3,1,10.8
2016,4,1,9.83
2016,5,1,9.5
2016,6,1,9.5
2016,7,1,9.13
2016,8,1,8.5
2016,9,1,8.78
2016,10,1,9.3
2016,11,1,10
2016,12,1,10.13
2015,1,1,13.2
2015,2,1,13.3
2015,3,1,13.4
2015,4,1,12
2015,5,1,10.93
2015,6,1,11.2
2015,7,1,11.5
2015,8,1,11.6
2015,9,1,11.9
2015,10,1,11.9
2015,11,1,11.9
2015,12,1,11.9
2014,1,1,13.97
2014,2,1,14.22
2014,3,1,14.28
2014,4,1,13.43
2014,5,1,13.35
2014,6,1,13.45
2014,7,1,13.74
2014,8,1,13.8
2014,9,1,13.62
2014,10,1,13.8
2014,11,1,13.8
2014,12,1,13.8
