Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5121,2018/01/01,3.0,1.1,4.2
5121,2018/01/02,5.2,1.1,12.3
5121,2018/01/03,2.4,-0.9,5.1
5121,2018/01/04,4.8,2.5,9.1
5121,2018/01/05,4.0,-1.1,8.5
5121,2018/01/06,7.7,5.8,10.6
5121,2018/01/07,9.4,7.3,11.7
5121,2018/01/08,12.8,11.3,14.2
5121,2018/01/09,11.8,8.8,14.5
5121,2018/01/10,8.6,3.7,13.4
5121,2018/01/11,7.3,5.8,8.2
5121,2018/01/12,6.7,2.9,11.4
5121,2018/01/13,4.2,1.2,8.5
5121,2018/01/14,4.0,0.8,8.5
5121,2018/01/15,3.7,1.8,6.6
5121,2018/01/16,4.1,2.3,6.0
5121,2018/01/17,6.0,3.1,12.8
5121,2018/01/18,5.7,0.6,12.9
5121,2018/01/19,3.5,-0.7,9.5
5121,2018/01/20,3.8,-0.4,8.5
5121,2018/01/21,5.2,1.7,11.1
5121,2018/01/22,5.4,1.6,10.5
5121,2018/01/23,4.4,-0.5,9.9
5121,2018/01/24,4.6,0.6,11.3
5121,2018/01/25,5.4,2.4,7.5
5121,2018/01/26,6.5,3.8,8.5
5121,2018/01/27,8.0,5.9,12.3
5121,2018/01/28,7.8,3.3,13.2
5121,2018/01/29,3.5,2.0,5.1
5121,2018/01/30,4.9,3.4,7.0
5121,2018/01/31,6.6,5.1,9.0
5121,2018/02/01,6.8,5.9,7.4
5121,2018/02/02,6.6,5.0,8.7
5121,2018/02/03,4.7,3.5,5.7
5121,2018/02/04,4.5,-0.4,9.0
5121,2018/02/05,6.3,5.0,8.2
5121,2018/02/06,5.6,4.2,7.1
5121,2018/02/07,5.3,3.5,7.9
5121,2018/02/08,6.1,1.9,10.4
5121,2018/02/09,6.9,4.1,11.8
5121,2018/02/10,5.3,1.2,10.3
5121,2018/02/11,6.0,4.0,9.6
5121,2018/02/12,4.5,3.8,5.5
5121,2018/02/13,4.4,0.3,9.2
5121,2018/02/14,2.7,-2.4,8.7
5121,2018/02/15,2.2,-2.5,8.9
5121,2018/02/16,4.3,-1.3,9.0
5121,2018/02/17,4.7,0.5,8.4
5121,2018/02/18,5.3,4.2,7.2
5121,2018/02/19,5.0,1.6,7.5
5121,2018/02/20,4.6,0.4,8.0
5121,2018/02/21,5.1,2.3,8.1
5121,2018/02/22,4.3,2.5,5.3
5121,2018/02/23,3.7,1.7,5.1
5121,2018/02/24,6.6,3.8,10.8
5121,2018/02/25,0.7,-1.3,2.9
5121,2018/02/26,-1.8,-4.5,1.6
5121,2018/02/27,-1.9,-4.8,1.6
5121,2018/02/28,-1.8,-5.7,1.3
5121,2018/03/01,-2.4,-3.3,-1.3
5121,2018/03/02,-0.2,-2.1,0.9
5121,2018/03/03,0.6,-0.8,1.5
5121,2018/03/04,1.4,0.1,3.3
5121,2018/03/05,3.6,1.1,7.0
5121,2018/03/06,5.5,3.7,8.6
5121,2018/03/07,6.7,3.7,10.2
5121,2018/03/08,8.5,1.9,16.0
5121,2018/03/09,9.7,4.1,16.4
5121,2018/03/10,9.7,8.0,11.3
5121,2018/03/11,9.6,8.3,10.7
5121,2018/03/12,10.1,7.4,14.5
5121,2018/03/13,10.5,6.5,16.7
5121,2018/03/14,10.1,3.7,17.0
5121,2018/03/15,8.1,5.2,10.5
5121,2018/03/16,11.0,7.9,16.1
5121,2018/03/17,9.5,8.0,10.8
5121,2018/03/18,7.5,6.0,9.7
5121,2018/03/19,3.5,1.8,5.2
5121,2018/03/20,5.8,3.5,8.8
5121,2018/03/21,6.1,3.4,9.6
5121,2018/03/22,5.9,1.5,11.2
5121,2018/03/23,6.6,0.8,12.4
5121,2018/03/24,8.2,3.5,12.5
5121,2018/03/25,8.5,4.0,12.5
5121,2018/03/26,10.0,1.6,17.0
5121,2018/03/27,13.0,8.8,18.1
5121,2018/03/28,11.9,6.0,17.6
